EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.730              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.170               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.830              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.730              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	1	0	5.102140284500012E+003	-7.2997838E-001	-7.3044175E-001	3.015481401234865E-003	1.000000000000000E+000	0.0000000E+000	14	4.3269274E-001	6.7004209E+000	0.000000000000000E+000	-2.2026336E-006	-1.1631345E+000
2	1	0	1	0	5.102183384499484E+003	-7.2911859E-001	-7.2964752E-001	1.506160515618349E-002	1.000000000000000E+000	6.0150450E-007	14	4.3094307E-001	6.7004194E+000	0.000000000000000E+000	-1.0989663E-005	-1.1605906E+000
2	1	0	1	0	5.102248784498690E+003	-7.2780812E-001	-7.2834545E-001	1.836415800412566E-002	1.000000000000000E+000	1.7132103E-006	13	4.2811906E-001	6.7004204E+000	6.539999920642003E-002	-1.3375451E-005	-1.1564646E+000
2	1	0	1	0	5.102298984498106E+003	-7.2680473E-001	-7.2741038E-001	1.811407145544885E-002	1.000000000000000E+000	2.6858090E-006	13	4.2617890E-001	6.7004194E+000	1.155999986222014E-001	-1.3176364E-005	-1.1535892E+000
2	1	0	1	0	5.102349384497487E+003	-7.2579694E-001	-7.2631413E-001	1.825654648003106E-002	1.000000000000000E+000	3.6638380E-006	13	4.2421681E-001	6.7004199E+000	1.659999980038265E-001	-1.3259988E-005	-1.1505309E+000
2	1	0	1	0	5.102399584496874E+003	-7.2479212E-001	-7.2532427E-001	1.875928016293235E-002	1.000000000000000E+000	4.6525888E-006	13	4.2229632E-001	6.7004204E+000	2.161999973905040E-001	-1.3606561E-005	-1.1476206E+000
2	1	0	1	0	5.102449784496275E+003	-7.2378898E-001	-7.2436297E-001	1.849124598707319E-002	1.000000000000000E+000	5.6497956E-006	13	4.2036974E-001	6.7004199E+000	2.663999967917334E-001	-1.3394374E-005	-1.1447327E+000
2	1	0	1	0	5.102500384495659E+003	-7.2277719E-001	-7.2335410E-001	1.876062940844206E-002	1.000000000000000E+000	6.6546377E-006	13	4.1845113E-001	6.7004199E+000	3.169999961755821E-001	-1.3570579E-005	-1.1418052E+000
2	1	0	1	0	5.102550584495038E+003	-7.2177207E-001	-7.2234678E-001	1.910788894424001E-002	1.000000000000000E+000	7.6664119E-006	13	4.1653937E-001	6.7004204E+000	3.671999955549836E-001	-1.3802523E-005	-1.1388862E+000
2	1	0	1	0	5.102600684494428E+003	-7.2077060E-001	-7.2134715E-001	1.900202271267210E-002	1.000000000000000E+000	8.6845030E-006	13	4.1463435E-001	6.7004204E+000	4.172999949441873E-001	-1.3707055E-005	-1.1359816E+000
