EC-Lab ASCII FILE
Nb header lines : 65                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.802 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.530              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.370               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.830              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.730              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	5.590817279044277E+003	-5.2942771E-001	-5.2977896E-001	1.374757569283247E-002	1.000000000000000E+000	0.0000000E+000	11	8.1035942E-002	7.2049665E+000	0.000000000000000E+000	-7.2831763E-006	-6.1081493E-001
2	1	0	1	0	5.590975379042371E+003	-5.2626652E-001	-5.2660567E-001	1.925738278344363E-002	1.000000000000000E+000	3.2703551E-006	11	7.1399122E-002	7.2049627E+000	0.000000000000000E+000	-1.0141047E-005	-5.9800482E-001
2	1	0	1	0	5.591256279038949E+003	-5.2064860E-001	-5.2099341E-001	2.092188471377510E-002	1.000000000000000E+000	9.2766049E-006	13	5.5090215E-002	7.2049627E+000	2.808999965782277E-001	-1.0900164E-005	-5.7608360E-001
2	1	0	1	0	5.591506879035936E+003	-5.1563656E-001	-5.1600593E-001	2.136582139745075E-002	1.000000000000000E+000	1.4863299E-005	13	4.1062914E-002	7.2049627E+000	5.314999935653759E-001	-1.1024890E-005	-5.5706882E-001
2	1	0	1	0	5.591757479032909E+003	-5.1062453E-001	-5.1099348E-001	2.172401052379536E-002	1.000000000000000E+000	2.0552274E-005	13	2.6995068E-002	7.2049627E+000	7.820999905379722E-001	-1.1100828E-005	-5.3798854E-001
2	1	0	1	0	5.592008179029857E+003	-5.0561059E-001	-5.0596344E-001	2.199319756365475E-002	1.000000000000000E+000	2.6324065E-005	13	1.3087051E-002	7.2049623E+000	1.032799987486214E+000	-1.1127754E-005	-5.1905048E-001
2	1	0	1	0	5.592258779026823E+003	-5.0059843E-001	-5.0095934E-001	2.228149469106760E-002	1.000000000000000E+000	3.2161690E-005	13	-6.8009965E-004	7.2049623E+000	1.283399984451535E+000	-1.1162123E-005	-5.0027925E-001
2	1	0	1	0	5.592508979023813E+003	-4.9559423E-001	-4.9596167E-001	2.251685847018281E-002	1.000000000000000E+000	3.8057828E-005	13	-1.4236104E-002	7.2049618E+000	1.533599981441512E+000	-1.1167499E-005	-4.8172557E-001
2	1	0	1	0	5.592758979020786E+003	-4.9059427E-001	-4.9094301E-001	2.270922788140076E-002	1.000000000000000E+000	4.3998807E-005	13	-2.7667437E-002	7.2049618E+000	1.783599978414713E+000	-1.1148937E-005	-4.6327558E-001
2	1	0	1	0	5.593008979017759E+003	-4.8559424E-001	-4.8594332E-001	2.297057892468324E-002	1.000000000000000E+000	4.9997110E-005	13	-4.0900193E-002	7.2049618E+000	2.033599975387915E+000	-1.1162399E-005	-4.4504312E-001
