EC-Lab ASCII FILE
Nb header lines : 65                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.730              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.170               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.830              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.730              
vs.                 Ref                 

Modify on : 08/14/2024 20:31
nc cycles           5                   

Modify on : 08/14/2024 20:31
nc cycles           4                   

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	1	0	5.102279684508365E+003	-7.2996491E-001	-7.3033047E-001	-4.104000516235828E-003	1.000000000000000E+000	0.0000000E+000	14	2.6082531E-001	6.9516506E+000	0.000000000000000E+000	2.9972766E-006	-9.9115574E-001
2	0	0	1	0	5.102322284507842E+003	-7.2911310E-001	-7.2947824E-001	1.476735770216400E-002	1.000000000000000E+000	5.8704074E-007	14	2.5639313E-001	6.9516482E+000	0.000000000000000E+000	-1.0772466E-005	-9.8587137E-001
2	1	0	1	0	5.102387484507068E+003	-7.2780967E-001	-7.2813600E-001	2.046718260619702E-002	1.000000000000000E+000	1.7802081E-006	13	2.5105882E-001	6.9516487E+000	6.519999922602437E-002	-1.4902893E-005	-9.7919482E-001
2	1	0	1	0	5.102437684506469E+003	-7.2680563E-001	-7.2712392E-001	2.080086589598326E-002	1.000000000000000E+000	2.8748311E-006	13	2.4750838E-001	6.9516492E+000	1.153999986272538E-001	-1.5124807E-005	-9.7463226E-001
2	1	0	1	0	5.102487784505844E+003	-7.2580308E-001	-7.2612876E-001	2.130309670421950E-002	1.000000000000000E+000	3.9870370E-006	13	2.4400716E-001	6.9516487E+000	1.654999980019056E-001	-1.5468791E-005	-9.7013593E-001
2	1	0	1	0	5.102537884505247E+003	-7.2480154E-001	-7.2513825E-001	2.118546553966788E-002	1.000000000000000E+000	5.1109027E-006	13	2.4056228E-001	6.9516492E+000	2.155999974056613E-001	-1.5362391E-005	-9.6570051E-001
2	1	0	1	0	5.102588084504649E+003	-7.2379738E-001	-7.2412550E-001	2.173494721481581E-002	1.000000000000000E+000	6.2493073E-006	13	2.3698576E-001	6.9516492E+000	2.657999968068907E-001	-1.5738829E-005	-9.6111125E-001
2	1	0	1	0	5.102638184504016E+003	-7.2279519E-001	-7.2309870E-001	2.166883289788131E-002	1.000000000000000E+000	7.3930646E-006	13	2.3354572E-001	6.9516487E+000	3.158999961742666E-001	-1.5668706E-005	-9.5664442E-001
2	1	0	1	0	5.102688284503412E+003	-7.2179371E-001	-7.2211957E-001	2.166592519655074E-002	1.000000000000000E+000	8.5398478E-006	13	2.3007195E-001	6.9516492E+000	3.659999955707463E-001	-1.5645388E-005	-9.5219153E-001
2	1	0	1	0	5.102738384502809E+003	-7.2079116E-001	-7.2111297E-001	2.194670798188011E-002	1.000000000000000E+000	9.6903414E-006	13	2.2662082E-001	6.9516487E+000	4.160999949672259E-001	-1.5826055E-005	-9.4773376E-001
