catalyst,Ag_content_at%,CO_pressure,CO_pressure_idx,KOH_M,KOH_idx,slope_alpha,slope_oh,diff_slope
Pd100,0,0.1% CO,0,0.25,0,0.13324110085900148,-2.4410634230391253,-2.574304523898127
Pd100,0,0.1% CO,0,0.5,1,-0.23444239259194508,-0.21621029760216967,0.018232094989775405
Pd100,0,0.1% CO,0,1.0,2,-0.3117842330660793,0.31354915451920295,0.6253333875852822
Pd100,0,1% CO,1,0.25,0,-0.05317313327151317,-0.5888524455733369,-0.5356793123018238
Pd100,0,1% CO,1,0.5,1,-0.4203026654901154,0.02520338431099117,0.4455060498011066
Pd100,0,1% CO,1,1.0,2,-0.23008785617646868,0.5684216282081948,0.7985094843846634
Pd100,0,10% CO,2,0.25,0,0.5503873835547926,0.8016994959844127,0.25131211242962015
Pd100,0,10% CO,2,0.5,1,-0.10523347531598753,1.3750016549567194,1.480235130272707
Pd100,0,10% CO,2,1.0,2,-0.052240639588252466,1.638234456689806,1.6904750962780584
Pd100,0,100% CO,3,0.25,0,0.6684388382044482,1.4497358369726128,0.7812969987681646
Pd100,0,100% CO,3,0.5,1,0.3544198783309538,1.755350095000131,1.4009302166691773
Pd100,0,100% CO,3,1.0,2,0.4267036281365152,1.9830912111081274,1.5563875829716123
Ag10Pd90,10,0.1% CO,0,0.25,0,0.7123188851957016,-0.8250474491697026,-1.5373663343654043
Ag10Pd90,10,0.1% CO,0,0.5,1,0.3022878363580869,-0.09516203339221622,-0.39744986975030316
Ag10Pd90,10,0.1% CO,0,1.0,2,1.0012976221392882,-0.7379684611073781,-1.7392660832466662
Ag10Pd90,10,1% CO,1,0.25,0,-0.05179538931906131,-0.9199960637996019,-0.8682006744805405
Ag10Pd90,10,1% CO,1,0.5,1,-0.1815054521541235,-0.708488360627573,-0.5269829084734495
Ag10Pd90,10,1% CO,1,1.0,2,0.003908241037164935,-0.7235592037539745,-0.7274674447911395
Ag10Pd90,10,10% CO,2,0.25,0,-0.2883379639362182,-0.9925828553922824,-0.7042448914560642
Ag10Pd90,10,10% CO,2,0.5,1,-0.1802164522115916,-1.106426961749314,-0.9262105095377224
Ag10Pd90,10,10% CO,2,1.0,2,-0.1936024173511687,-1.1968217219945911,-1.0032193046434223
Ag10Pd90,10,100% CO,3,0.25,0,-0.5641926755102011,-1.5510683094131439,-0.9868756339029428
Ag10Pd90,10,100% CO,3,0.5,1,-0.39408365272260176,-1.6608871692409992,-1.2668035165183975
Ag10Pd90,10,100% CO,3,1.0,2,-0.4940725778209962,-1.773998169160794,-1.2799255913397978
Ag25Pd75,25,0.1% CO,0,0.25,0,-1.109847990451531,-2.9452970365675237,-1.8354490461159927
Ag25Pd75,25,0.1% CO,0,0.5,1,-0.8724800891111333,-2.9871129239155243,-2.1146328348043912
Ag25Pd75,25,0.1% CO,0,1.0,2,-0.7996188505874589,-3.121010011173641,-2.3213911605861823
Ag25Pd75,25,1% CO,1,0.25,0,-0.812214124210979,-2.025958357002307,-1.213744232791328
Ag25Pd75,25,1% CO,1,0.5,1,-0.7331512262512221,-2.0590766169626162,-1.3259253907113941
Ag25Pd75,25,1% CO,1,1.0,2,-0.645906298582946,-2.1988969232717896,-1.5529906246888436
Ag25Pd75,25,10% CO,2,0.25,0,-0.8752141801261479,-1.6791536406650824,-0.8039394605389345
Ag25Pd75,25,10% CO,2,0.5,1,-0.8186789931531478,-1.750083502190004,-0.9314045090368562
Ag25Pd75,25,10% CO,2,1.0,2,-0.7730144633623983,-1.8473912660145473,-1.074376802652149
Ag25Pd75,25,100% CO,3,0.25,0,-0.9224512672609357,-1.2531255881754997,-0.33067432091456395
Ag25Pd75,25,100% CO,3,0.5,1,-0.793629294272783,-1.3460882028198187,-0.5524589085470357
Ag25Pd75,25,100% CO,3,1.0,2,-0.7478904902984149,-1.4777586197904111,-0.7298681294919962
Ag50Pd50,50,0.1% CO,0,0.25,0,-1.1181832777285758,-3.622292379460432,-2.504109101731856
Ag50Pd50,50,0.1% CO,0,0.5,1,-1.0488519616384429,-3.622642938187287,-2.5737909765488443
Ag50Pd50,50,0.1% CO,0,1.0,2,-0.9836144182468569,-3.715182052930382,-2.731567634683525
Ag50Pd50,50,1% CO,1,0.25,0,-0.8629841559256037,-2.526448465114909,-1.6634643091893053
Ag50Pd50,50,1% CO,1,0.5,1,-0.8024148368046955,-2.6554489831692076,-1.8530341463645121
Ag50Pd50,50,1% CO,1,1.0,2,-0.7270086194928,-2.7960564775028955,-2.0690478580100953
Ag50Pd50,50,10% CO,2,0.25,0,-1.0019272433524316,-2.030678005526999,-1.0287507621745673
Ag50Pd50,50,10% CO,2,0.5,1,-0.9112846589777959,-2.129169474529233,-1.217884815551437
Ag50Pd50,50,10% CO,2,1.0,2,-0.7998542471443755,-2.2577838048831445,-1.457929557738769
Ag50Pd50,50,100% CO,3,0.25,0,-0.8554367540063352,-1.177161403037003,-0.3217246490306678
