,Ewe_a_100,Ewe_a_10,Ewe_a_1,Ewe_a_pt1,alpha100_1000mean,alpha100_1000stddev,alpha10_1000mean,alpha10_1000stddev,alpha1_1000mean,alpha1_1000stddev,alphapt1_1000mean,alphapt1_1000stddev,alpha100_500mean,alpha100_500stddev,alpha10_500mean,alpha10_500stddev,alpha1_500mean,alpha1_500stddev,alphapt1_500mean,alphapt1_500stddev,alpha100_250mean,alpha100_250stddev,alpha10_250mean,alpha10_250stddev,alpha1_250mean,alpha1_250stddev,alphapt1_250mean,alphapt1_250stddev
0,0.485425639,0.485622901,0.485640993,0.485902549,,,,,,,,,,,,,,,,,,,,,,,,
1,0.486058578,0.486212572,0.486208192,0.486229422,0.200303335,0.59270836,0.442941858,0.621389771,0.204134366,0.372613429,2.79197091,1.841726272,-0.103075902,0.393755652,-0.050985391,1.150165057,0.646299954,4.992190503,0.733058723,3.840759266,0.276618827,0.86683198,0.345560426,1.62948707,-2.219162517,2.168954289,-1.507640281,6.454909889
2,0.487113064,0.487150277,0.487170971,0.487190449,,0.022011338,0.369011196,0.014526664,,0.016816405,,0.028305904,,0.014360799,,0.04350102,,0.057970679,0.617391825,0.152268295,0.402411126,0.01582033,0.438182944,0.023097363,,0.02548659,,0.117235961
3,0.488059253,0.488195928,0.488176653,0.488256278,0.363977276,0.007498855,0.363679616,0.014313161,0.381485217,0.02838976,0.377818893,0.010683519,0.416191379,0.023357355,0.44604593,0.016082076,0.451910089,0.030468802,0.60977418,0.139672201,0.409311346,0.029401921,0.432411261,0.029685868,0.467363936,0.032269512,0.651477771,0.115169539
4,0.489059215,0.489221946,0.489194299,0.489222516,0.352261643,0.003312965,0.360160287,0.027699005,0.368706093,0.018008318,0.407428959,0.028764577,0.402447404,0.025125983,0.412345509,0.036524796,0.455049062,0.056100622,0.54616264,0.104521499,0.396127347,0.028328969,0.437781802,0.013669157,0.474909375,0.038251317,0.574113431,0.090857518
5,0.490064577,0.490147159,0.490222682,0.490183391,0.347080257,0.018546941,0.393325751,0.017534248,0.376656252,0.028431477,0.393927517,0.026820004,0.406365282,0.017916517,0.427264195,0.028547927,0.453387045,0.055161249,0.57094375,0.123954128,0.4012579,0.022291242,0.43451068,0.022978227,0.475287915,0.039390894,0.623269314,0.09246916
6,0.491042355,0.491174861,0.491191707,0.491262129,0.349308776,0.001541887,0.3574842,0.012550132,0.37304197,0.030776746,0.379615342,0.056070052,0.387277798,0.02477245,0.407103487,0.023337152,0.469456005,0.04538555,0.551266322,0.108868173,0.397722705,0.015857563,0.426168287,0.025094628,0.483465692,0.033382207,0.570795571,0.10022659
7,0.492032915,0.492123036,0.492189325,0.492174311,0.343083607,0.017068415,0.371761805,0.001587316,0.367975182,0.007873515,0.402778504,0.021806877,0.403367883,0.006931442,0.416363756,0.034243469,0.448348164,0.049272996,0.519122377,0.049668032,0.401830173,0.018272194,0.434569335,0.019340264,0.475994176,0.0335764,0.568274013,0.050134446
8,0.493041418,0.493134919,0.493189,0.493213741,0.337512774,0.005564112,0.361471871,0.01185205,0.362749751,0.017776311,0.369932076,0.040926381,0.395516829,0.014256803,0.421933571,0.018910118,0.444066135,0.034734499,0.571223109,0.147899062,0.384031059,0.028055754,0.438356659,0.015331419,0.464680319,0.015649723,0.598205022,0.129993871
9,0.494050884,0.494137093,0.494167517,0.494197839,0.337634991,0.002352582,0.356852173,0.0250882,0.363708849,0.033994138,0.39080295,0.029716714,0.394348358,0.030599918,0.422947093,0.015694054,0.459625829,0.07018414,0.529174708,0.109916844,0.407169372,0.018612509,0.423066748,0.019837393,0.479039785,0.055752655,0.569397207,0.09542827
10,0.495065525,0.495181739,0.49518646,0.495173769,0.356283989,0.022707548,0.363354921,0.021956215,0.370855417,0.021925869,0.389596784,0.019607108,0.401908002,0.02011839,0.421554819,0.012368168,0.452257845,0.044575891,0.527634652,0.078956038,0.392939798,0.026791404,0.432550442,0.025796011,0.461262249,0.036745862,0.535879294,0.081121805
11,0.496029189,0.496165911,0.49624854,0.496248114,0.344581741,0.006588694,0.365975784,0.012346306,0.355464648,0.025337398,0.368078132,0.012897491,0.389756144,0.015190673,0.421368275,0.054645026,0.441762207,0.052302963,0.525912318,0.089762631,0.384370588,0.024684777,0.442417017,0.040649689,0.472915328,0.034384956,0.572872432,0.058713904
12,0.497054197,0.497156355,0.497196227,0.497208125,0.350797363,0.014334047,0.354675607,0.009685585,0.366444977,0.015117903,0.372430016,0.035035213,0.393845841,0.019163922,0.412862655,0.003304911,0.427788703,0.022139889,0.537943313,0.089525847,0.394646824,0.021001724,0.41859092,0.009108851,0.472473509,0.03810293,0.540611531,0.087388404
