,Ewe_a_100,Ewe_a_10,Ewe_a_1,Ewe_a_pt1,alpha100_1000mean,alpha100_1000stddev,alpha10_1000mean,alpha10_1000stddev,alpha1_1000mean,alpha1_1000stddev,alphapt1_1000mean,alphapt1_1000stddev,alpha100_500mean,alpha100_500stddev,alpha10_500mean,alpha10_500stddev,alpha1_500mean,alpha1_500stddev,alphapt1_500mean,alphapt1_500stddev,alpha100_250mean,alpha100_250stddev,alpha10_250mean,alpha10_250stddev,alpha1_250mean,alpha1_250stddev,alphapt1_250mean,alphapt1_250stddev
0,0.494674335,0.494764623,0.494605524,0.494691719,,,,,,,,,,,,,,,,,,,,,,,,
1,0.495250372,0.495210839,0.495222455,0.495202579,0.97143862,0.28525167,0.68766471,2.473826524,1.746780713,1.249777412,1.364258926,3.059046862,-1.013699036,1.583155348,-0.235014168,1.730102409,4.40459735,11.15669301,22.52308258,55.5396849,1.284697756,1.032102928,3.252956006,1.946999264,-4.209391498,10.31067299,-31.91444614,29.61229071
2,0.496180008,0.496181673,0.496231821,0.496220452,,0.007394985,,0.040020632,,0.101674078,,0.586239134,,0.083988214,0.463907528,0.150177742,,0.447107965,,7.169962685,,0.076363007,,0.144693011,,0.43625734,,6.381558876
3,0.497220909,0.4972004,0.49721571,0.497244756,0.24622292,0.027780607,0.314212279,0.017057893,0.480024886,0.106635094,,0.512700164,0.254576206,0.056920679,0.353990351,0.063229209,,0.268546884,,6.097623707,0.279205212,0.038691664,0.348874506,0.067164471,,0.300046591,,7.224921759
4,0.49823225,0.498180863,0.49816347,0.498186225,0.245863612,0.035292676,0.330492131,0.010343281,0.502711386,0.130646709,,0.507435018,0.27092887,0.076532171,0.354837962,0.100484095,,0.312736746,,7.670133583,0.268879914,0.073455398,0.369216503,0.089298195,0.693485285,0.272260773,,9.506769074
5,0.499233996,0.499238942,0.499211052,0.49921789,0.231733049,0.010390727,0.318607343,0.061717561,0.403290579,0.033328176,,0.359742384,0.252105521,0.058431707,0.354357849,0.065410577,0.613040277,0.239241694,,10.29609602,0.269028047,0.044675395,0.352924552,0.069696557,0.72812045,0.263956704,,16.81863436
6,0.500221931,0.500220535,0.500207698,0.500205055,0.241264355,0.014201847,0.307084298,0.013272291,0.478945942,0.070965808,0.772358703,0.248048694,0.243956167,0.063136412,0.33885166,0.058287567,0.69475275,0.096058735,,32.25689639,0.259314814,0.053612774,0.327708645,0.06859959,0.545691062,0.224498936,,40.91461788
7,0.501245323,0.50116305,0.501173615,0.501248187,0.244568664,0.017244205,0.345896773,0.024478773,0.484357368,0.102515803,0.815265336,0.357268467,0.25378102,0.05920589,0.316543236,0.103480316,,0.181671288,,36.11527975,0.258702499,0.054499961,0.348089587,0.074225919,0.610208295,0.218138868,,32.35872282
8,0.502191322,0.502191439,0.502217835,0.502211845,0.250967615,0.016019276,0.302508881,0.020640312,0.369335847,0.090032783,0.693229994,0.119608131,0.248601213,0.062707772,0.376230934,0.067933755,0.518380798,0.199292862,,7.728721692,0.261645262,0.05004777,0.37261812,0.072099256,0.59265714,0.093258217,,10.26784833
9,0.503272678,0.503205047,0.503203842,0.503224246,0.226693443,0.018539251,0.325037334,0.040346913,0.479231046,0.075871231,0.782798061,0.291734321,0.249634045,0.070826352,0.367478288,0.0587943,0.579317014,0.14062865,,2.025460304,0.266156169,0.056428776,0.338161528,0.083383048,0.532333847,0.188205016,,2.267341728
10,0.504208756,0.504167475,0.50416548,0.504202735,0.246325932,0.013826158,0.311435401,0.015059458,0.377179444,0.067309723,0.704528356,0.247030024,0.271021465,0.065604449,0.319265765,0.094033298,0.576146352,0.179822405,,4.551683712,0.278647061,0.060245653,0.366885615,0.053398867,0.56617963,0.227071431,,4.242377944
11,0.505266741,0.505258442,0.505219218,0.505255408,0.246078829,0.023026387,0.321608468,0.047821952,0.456263027,0.057547855,0.691146382,0.216614936,0.24020627,0.047387046,0.360712125,0.078029058,0.683207164,0.229233992,,3.054922354,0.267329705,0.021006985,0.351805036,0.08806614,0.660843471,0.259375282,,2.873789278
12,0.506218818,0.506230634,0.506241351,0.506235011,0.250573777,0.013124608,0.332445097,0.011295802,0.419788664,0.072504683,0.67341117,0.340354921,0.263707253,0.069237986,0.364799656,0.091722301,0.548097057,0.182326284,2.270413529,1.8121576,0.265103014,0.069139768,0.357084213,0.096779896,0.549986189,0.181473976,,1.997513548
13,0.507230075,0.507231446,0.507286813,0.507277301,0.233559448,0.011981448,0.30763014,0.036869653,0.417161728,0.074388891,0.596374112,0.178811963,0.25895292,0.070873275,0.329638059,0.064711926,0.569145545,0.096110575,,2.573445569,0.269383951,0.06079686,0.351608845,0.046827951,0.537832814,0.135798489,,2.653094731
14,0.508262493,0.508159104,0.508208186,0.508241123,0.243197787,0.025296156,0.323576458,0.039890611,0.433668396,0.099502202,0.717769139,0.264745739,0.253329774,0.074025846,0.360389167,0.104395789,0.635503141,0.098669476,,1.160054852,0.275080059,0.051130275,0.369140961,0.098925277,0.535450841,0.181731437,,1.288793867
15,0.509233484,0.509204323,0.509227924,0.509231438,0.24998446,0.020844837,0.324061655,0.046792168,0.400428456,0.056134714,0.60798045,0.240204089,0.259606896,0.06909376,0.356397006,0.072502884,0.439324577,0.179464811,,1.694830845,0.276945589,0.053889969,0.368076206,0.066556021,0.476037521,0.142722687,2.202708427,1.486790339
16,0.510213944,0.510207183,0.510205473,0.510236415,0.244653003,0.013436629,0.315320061,0.017167279,0.393035908,0.04900209,0.671147134,0.290068924,0.253321289,0.057983606,0.340781684,0.066345706,0.586008466,0.183025038,,0.879468602,0.273396583,0.040264415,0.350029491,0.058363933,0.580038901,0.199967738,,1.686151891
17,0.511213387,0.51123856,0.511226445,0.511235198,0.246552887,0.017532775,0.318351535,0.037633348,0.469267569,0.055556077,0.591374897,0.099248687,,0.067612533,0.35302512,0.073211106,0.527083993,0.127002007,,1.015778244,,0.059131346,0.345037298,0.08096305,0.475041795,0.156003343,,0.962948113
18,0.512236311,0.512208664,0.51218713,0.512260446,0.246647803,0.023407294,0.335577211,0.018676926,0.366260044,0.068409051,0.571220344,0.068454134,0.658370338,0.747298571,0.347632297,0.066451418,0.531983235,0.190551136,1.349289391,0.791084367,0.674404034,0.73353292,0.359282875,0.058642224,0.555987762,0.177719135,1.745947924,1.097461221
19,0.513258192,0.513208411,0.513262159,0.513275156,0.247085963,0.019283587,0.321558371,0.029371646,0.395512551,0.071473189,0.53267552,0.261558552,,0.191041031,0.343774519,0.102551089,0.509072814,0.101645974,1.410061204,0.743170758,,0.169676009,0.369307103,0.081359397,0.477106507,0.138494075,,0.960804184
20,0.514207975,0.514234671,0.514216354,0.514210312,0.257599053,0.010062914,0.301160696,0.036858632,0.418348618,0.044743673,0.697168328,0.105819335,0.263195724,0.055818726,0.339365963,0.055706039,0.547930454,0.151670126,,0.879070367,0.263889456,0.054580769,0.336508743,0.051320214,0.544201126,0.186265368,,0.858019195
21,0.515224549,0.515212,0.515221401,0.515200531,0.245742064,0.016090078,0.313885814,0.05564886,0.41676983,0.110704877,0.526155137,0.182516385,0.259778502,0.07118868,0.368643475,0.09278201,0.458661312,0.156625867,,0.493857,0.291111455,0.044366791,0.367579952,0.091914836,0.505279283,0.112137677,1.431405217,0.891951757
22,0.516232622,0.516196876,0.516181826,0.516210965,0.249314334,0.025663525,0.316914292,0.007401612,0.403782409,0.058694765,0.65504299,0.184746195,0.264995887,0.070060129,0.328937564,0.077202991,0.520753944,0.167658391,1.018299345,0.424100476,0.278580421,0.055344405,0.355490574,0.054863485,0.475556198,0.133729702,1.244154076,0.638077731
23,0.517255307,0.517181751,0.517236861,0.517238146,0.243949418,0.004511038,0.33005617,0.015923486,0.416679583,0.100260012,0.5371952,0.065473061,0.262611371,0.065493816,0.381415089,0.072403017,0.552383368,0.195230655,1.248524718,0.770539679,0.281936106,0.047801505,0.361099441,0.08820563,0.534786283,0.220611673,1.498751672,0.849410945
24,0.518193347,0.518210163,0.518218681,0.518233798,0.251152664,0.017878962,0.323524795,0.039710113,0.372226182,0.057300739,0.655229916,0.142062731,0.267635749,0.067569859,0.329869026,0.080539848,0.526649945,0.095804315,,0.619316072,0.281959626,0.055247692,0.374437974,0.041779725,0.50897097,0.110630719,,0.676515527
25,0.519276715,0.519229999,0.519203659,0.519234728,0.250601324,0.031738043,0.328543487,0.029557848,0.415198955,0.080013538,0.519708023,0.133742284,0.265211105,0.051579756,0.354144939,0.080344388,0.51269955,0.113245528,1.047201979,0.393127945,0.28633644,0.045802358,0.366631295,0.06953228,0.507457185,0.118915262,1.192209037,0.511738194
26,0.520263615,0.520220109,0.520227696,0.520231401,0.262336336,0.023959498,0.329333045,0.016814162,0.396219091,0.079682612,0.518794443,0.17407754,0.272996251,0.079135284,0.361661074,0.05976632,0.479582027,0.067932136,,0.518533313,0.286562926,0.069763702,0.369865527,0.053263753,0.410327459,0.167427247,,0.638871598
27,0.521251533,0.521206053,0.521212668,0.521231222,0.241101358,0.012247045,0.328676163,0.030768658,0.40271079,0.041789347,0.578958263,0.100043336,0.270398478,0.069053217,0.338441361,0.076839144,0.466321423,0.115525895,0.866806589,0.146577567,0.300797864,0.045785318,0.352690906,0.063617246,0.528450896,0.063034033,0.890443912,0.328187952
28,0.522261681,0.522203371,0.522222038,0.522245771,0.260631187,0.029697843,0.320162154,0.014194504,0.376048617,0.027814215,0.565953809,0.173546486,0.26419449,0.063109655,0.358403571,0.077534254,0.516163758,0.068557804,1.033550514,0.541295067,0.280173352,0.048939137,0.369566159,0.069502376,0.471635744,0.110139065,,0.65293282
29,0.523239955,0.523221121,0.523198617,0.523240342,0.25526273,0.01650292,0.310688389,0.042321396,0.41141227,0.091951366,0.537240071,0.132119509,0.274324605,0.074072625,0.353840058,0.071264002,0.496117806,0.152134958,0.851722383,0.404049873,0.299729089,0.052387571,0.36953854,0.06079655,0.484537155,0.145143091,,0.474152404
30,0.524271367,0.524247215,0.524206906,0.5242941,0.253726962,0.009922036,0.331712226,0.020633,0.354223139,0.071477925,0.590706572,0.127310988,0.276440854,0.055282017,0.367819971,0.06960666,0.492336439,0.059631662,0.886781084,0.15869529,0.276237016,0.059799982,0.376349607,0.065792584,0.468061218,0.089723996,0.893946884,0.280123671
31,0.525259395,0.525258598,0.525246834,0.525293984,0.257523944,0.020790693,0.329684169,0.01906444,0.387524483,0.045330695,0.486203865,0.121218802,0.272829617,0.068914381,0.339277334,0.074405959,0.453205593,0.073168299,0.98085128,0.391207826,0.294639061,0.044170238,0.353689435,0.064363228,0.476160813,0.118279652,0.969758611,0.501243268
