material,C_KOH_M,replicate,n_points,setup_offset_ln_rate,rms_deviation_before_offset,rms_deviation_after_offset,fraction_squared_deviation_explained_by_offset,median_abs_potential_slope_after_offset
Pd100,1.0,A,164,-0.08269935623955259,0.08838273589897307,0.031182117993349932,0.8755266611862432,0.13565578338618
Pd100,1.0,B,164,0.060797355213457055,0.07114566325006606,0.0369511433969306,0.7302515870379254,0.06682993165271202
Pd100,1.0,C,164,0.02190200102609552,0.05808151597240328,0.05379372499377087,0.14219741564665134,0.09687618229328387
Pd100,0.5,A,163,0.029474199433581757,0.05518174085214724,0.046650788752420735,0.2852943960068902,0.22016724985267278
Pd100,0.5,B,163,0.14859332181751042,0.16422045027672097,0.06991695788810305,0.8187364128564059,0.43802889156259583
Pd100,0.5,C,163,-0.17806752125109218,0.21040836259304577,0.11208763056010444,0.7162150342062154,0.6576920534574383
Pd100,0.25,A,161,-0.09952114790011785,0.11949075030593558,0.0661330517163567,0.6936847977418462,0.2864006012469329
Pd100,0.25,B,161,0.06980109818709916,0.16185797922485975,0.14603359932094423,0.18597573466098838,0.35853097552818036
Pd100,0.25,C,161,0.029720049713018764,0.14067632268599833,0.13750107784854204,0.04463309966399931,0.46323686173323675
Ag10Pd90,1.0,A,164,0.1117338664247507,0.11273337610089053,0.014978557369813949,0.9823463322900872,0.025363671057119334
Ag10Pd90,1.0,B,164,-0.07712508243570988,0.08394031168115122,0.033131519500526514,0.8442092910793333,0.20077892650774223
Ag10Pd90,1.0,C,164,-0.03460878398904077,0.045939773334481696,0.03021083985630771,0.5675380508686083,0.19038208562137693
Ag10Pd90,0.5,A,161,0.019475349258658906,0.04762354800797955,0.04345932691749363,0.1672349382484717,0.14206485289506646
Ag10Pd90,0.5,B,161,0.04683418617812102,0.07114620225187396,0.053556895913576374,0.43333374567669813,0.2768525413027382
Ag10Pd90,0.5,C,161,-0.06630953543677981,0.09769916285086182,0.07175076258770816,0.46064916225920205,0.4792779524962571
Ag10Pd90,0.25,A,152,0.03709447540063168,0.05426376177685841,0.03960499636318088,0.46730311089341947,0.08371773643451766
Ag10Pd90,0.25,B,152,0.06361682505413288,0.10150154163741515,0.07909148199903561,0.39282462506998017,0.3734884694167024
Ag10Pd90,0.25,C,152,-0.10071130045476458,0.12501837280023534,0.07407312264464598,0.6489462451392223,0.45720620585122157
Ag25Pd75,1.0,A,164,-0.15211055883260327,0.15299966325946573,0.01647042346580834,0.9884114638278152,0.10209871420340816
Ag25Pd75,1.0,B,164,-0.011960693106615055,0.0407303165530222,0.03893456699282484,0.08623372043799149,0.1112174948872856
Ag25Pd75,1.0,C,164,0.16407125193921834,0.16927448785981716,0.0416470470417882,0.9394679461330046,0.10942132083121844
Ag25Pd75,0.5,A,164,-0.061943780794563516,0.07316520396736063,0.03893732261546173,0.7167806017308791,0.17489203086855543
Ag25Pd75,0.5,B,164,-0.0456772613697601,0.08358269016326755,0.0699975277326807,0.29865337342798914,0.3779715538616341
Ag25Pd75,0.5,C,164,0.10762104216432364,0.15150813563668478,0.10664157935612609,0.5045712235474471,0.481119133785312
Ag25Pd75,0.25,A,162,0.16084148644247387,0.2721457482232343,0.2195297804739929,0.3492955467857919,0.7238494474582307
Ag25Pd75,0.25,B,162,0.1252774019648389,0.25728579559426973,0.22472550627713922,0.23709033837628346,0.7571993026150474
Ag25Pd75,0.25,C,162,-0.28611888840731275,0.5276209294190767,0.4433055682682251,0.29406885394544524,1.5114200304644094
Ag50Pd50,1.0,A,164,0.09845395178466605,0.10639709035513316,0.0403380739998952,0.8562622594506212,0.19032955341335278
Ag50Pd50,1.0,B,164,0.06491108114190962,0.11611668670942932,0.09627895137237519,0.3124988440066996,0.10993527403279076
Ag50Pd50,1.0,C,164,-0.1633650329265757,0.19991384116410535,0.11522764384420085,0.6677785758961058,0.2728224841246704
Ag50Pd50,0.5,A,164,0.15527716602806807,0.16856255601553055,0.06559220228640489,0.8485803600036765,0.44249682452183126
Ag50Pd50,0.5,B,164,0.15722061114416103,0.17027213658808119,0.06537797740620828,0.8525734202428064,0.49703631210136545
Ag50Pd50,0.5,C,164,-0.31249777717222904,0.3382842177330245,0.12954285479971545,0.8533562852074867,0.9370367042767584
Ag50Pd50,0.25,A,164,-0.07908521622522069,0.18221275525113534,0.16415546518718235,0.1883792495142258,0.7917025674357636
Ag50Pd50,0.25,B,164,-0.01043502385352149,0.037369839099318666,0.03588335479697242,0.07797303455703608,0.09526868919716572
Ag50Pd50,0.25,C,164,0.08952024007874212,0.18929502868362652,0.1667894915771955,0.22364750591483085,0.9214088087066445
Ag75Pd25,1.0,A,164,0.07433204679308254,0.09151961576153693,0.05339088769341026,0.6596655541223517,0.22721030631500352
Ag75Pd25,1.0,B,164,0.11020012121328447,0.1251075668238516,0.059226991829417625,0.7758843445953513,0.3194591203782586
Ag75Pd25,1.0,C,164,-0.18453216800636707,0.21535966712672086,0.11103001934522903,0.7342017676404242,0.546669426693262
Ag75Pd25,0.5,A,164,0.0008191616738971555,0.04666001109550637,0.04665281995319035,0.00030821202161634975,0.20514142081665135
Ag75Pd25,0.5,B,164,-0.016580220359416805,0.07294557205206922,0.07103627787853754,0.051663369501258494,0.11054603515688491
Ag75Pd25,0.5,C,164,0.015761058685519663,0.11532486759733902,0.11424278583549767,0.01867776224692308,0.27917903792423004
Ag75Pd25,0.25,A,164,0.09312042177312574,0.11006007057964196,0.058666908771392905,0.715863624182012,0.14924048713747257
Ag75Pd25,0.25,B,164,-0.013017503789202725,0.07221116164415554,0.0710281385163405,0.03249726131462971,0.18436142865936683
Ag75Pd25,0.25,C,164,-0.08010291798392297,0.1500165664786916,0.12684042237597845,0.285113795191391,0.3915664302786621
Ag90Pd10,1.0,A,164,0.13413780674486625,0.13705853384076305,0.028144102406303627,0.9578339770032878,0.11162193098056494
Ag90Pd10,1.0,B,164,0.0704175104769146,0.10602293865290861,0.079260568625465,0.44112498765596586,0.08267211550368617
Ag90Pd10,1.0,C,164,-0.20455531722178083,0.21636298069612547,0.07049866390229373,0.8938314561306856,0.08367534177282832
Ag90Pd10,0.5,A,164,0.15025377813463556,0.15703346107130806,0.04564329142712799,0.915516965663504,0.1786998420233386
Ag90Pd10,0.5,B,164,-0.0676490412571383,0.08166725801737947,0.04575093713867762,0.6861630749402078,0.1555553661031138
Ag90Pd10,0.5,C,164,-0.08260473687749724,0.11812618172890067,0.08444082102424581,0.4890098104197551,0.3178546173775459
Ag90Pd10,0.25,A,164,0.16819502125038133,0.17201468701528216,0.03604840323161715,0.9560821566219869,0.10770754593322507
Ag90Pd10,0.25,B,164,0.26422089760889444,0.27921353408711924,0.09026358559335548,0.8954913515720927,0.09321458231734175
Ag90Pd10,0.25,C,164,-0.43241591885927577,0.44269092010318317,0.09482470067915391,0.9541180642716068,0.23121355044227548
