,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,3000.0,2500.0,1.0,1.9e-05,1.4e-05
deltaG4_0,210.0,120.0,1.0,0.00032,0.00024
deltaG5_0,62.0,23.0,1.1,0.0021,0.0018
beta_2_BF,770.0,1200.0,1.0,0.0026,0.007
beta_2_ER,130.0,53.0,1.0,0.011,0.029
q,100.0,52.0,1.0,0.0047,0.0063
Gact1_0,1700.0,1200.0,1.0,0.0023,0.002
Gact2_BF_0,56.0,21.0,1.1,0.0029,0.002
Gact2_ER_0,62.0,18.0,1.1,0.0061,0.01
Gact2_LH_0,1700.0,1500.0,1.0,9.5e-05,8.5e-05
sigma_ln_rate_material[Ag10Pd90],3200.0,2300.0,1.0,0.00014,9.8e-05
