,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,4400.0,2900.0,1.0,1.6e-05,1.1e-05
deltaG4_0,2400.0,2400.0,1.0,0.00019,0.0004
deltaG5_0,590.0,690.0,1.0,0.00019,0.00013
beta_2,640.0,680.0,1.0,0.0016,0.0011
q,690.0,780.0,1.0,0.0012,0.00079
Gact2_0,580.0,650.0,1.0,0.00017,0.00011
sigma_ln_rate_material[Ag10Pd90],4800.0,2800.0,1.0,0.00011,8e-05
sigma_ln_rate_setup_material[Ag10Pd90],1300.0,2200.0,1.0,0.00076,0.00092
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=A],3100.0,2700.0,1.0,0.012,0.0091
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=B],3000.0,2700.0,1.0,0.012,0.0089
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=C],2900.0,2600.0,1.0,0.013,0.0093
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=A],3300.0,2600.0,1.0,0.011,0.0082
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=B],3500.0,2900.0,1.0,0.011,0.0079
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=C],2900.0,2800.0,1.0,0.012,0.0088
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=A],2600.0,2700.0,1.0,0.014,0.0096
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=B],2700.0,2600.0,1.0,0.013,0.0094
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=C],2800.0,2700.0,1.0,0.013,0.0086
