parameter,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,4325.278457091783,2996.5863028000635,1.00011419432787,1.607873639004471e-05,1.103914320448499e-05
deltaG4_0,722.4994006396636,1250.0422667398393,1.0046047470249608,0.00015906803114006495,0.0001327962822519363
deltaG5_0,151.50829020037497,174.52899124667707,1.023431163250771,0.0011960119819747854,0.0009185162974050589
beta_2_BF,775.3372025872974,1094.5307289134637,1.0053864952483489,0.0016599922732037768,0.002184568626149081
beta_2_ER,380.9265407580598,339.6364003046378,1.0076747723854877,0.004025717614973818,0.010628508278916938
q,216.38097138519967,355.37897363531494,1.0144709830619192,0.0037093595185487584,0.0035214992113783198
Gact1_0,1852.5173936695012,1312.689081526899,1.002202410633798,0.0025932678565696696,0.0021506605075216853
Gact2_BF_0,145.58920362000867,163.57605287949414,1.024605623247537,0.0013590839789793534,0.0009376141018657147
Gact2_ER_0,145.49337888055695,163.1196256118721,1.0238448055396427,0.0022293019609339886,0.0054925640932651
Gact2_LH_0,2308.6044277142355,2088.3654661226346,1.0014325660909804,7.693124370578294e-05,6.772008183420689e-05
sigma_ln_rate_material,6091.0333702913495,2696.6417440668874,1.0008429065887463,0.00010387214531303366,7.744911625162761e-05
sigma_ln_rate_setup_material,1513.1067083167636,2016.028096059326,1.0033981312254319,0.0006911865286502506,0.0008222735977812734
