material,electrolyte_concentration_M,CO_mole_fraction,n_potentials,n_replicates,shared_rms,replicate_specific_rms,shared_fraction_squared_residual,replicate_fraction_squared_residual
Ag10Pd90,0.25,0.001,33,3,0.36112437673091496,0.10447476669171438,0.9227672691996992,0.07723273080030078
Ag10Pd90,0.25,0.01,37,3,0.6111365953674546,0.06836096240064043,0.9876422497010732,0.012357750298926592
Ag10Pd90,0.25,0.1,41,3,0.3456406274142364,0.03912360708097047,0.9873497465525947,0.012650253447405049
Ag10Pd90,0.25,1.0,41,3,0.33909869229835565,0.04817928541625619,0.9802125988166326,0.019787401183367283
Ag10Pd90,0.5,0.001,38,3,0.4201870785684767,0.08914036763003641,0.9569329651829844,0.04306703481701553
Ag10Pd90,0.5,0.01,41,3,0.36557149355625673,0.053175338466223084,0.9792803264126466,0.020719673587353795
Ag10Pd90,0.5,0.1,41,3,0.1695389823082034,0.041257132211120234,0.944092086180142,0.05590791381985822
Ag10Pd90,0.5,1.0,41,3,0.5416182094617142,0.03535864090928381,0.9957561734984904,0.00424382650150958
Ag10Pd90,1.0,0.001,41,3,0.17296246444709526,0.03173499668049878,0.9674318154161776,0.03256818458382234
Ag10Pd90,1.0,0.01,41,3,0.5760571493179947,0.027758255250915326,0.9976834272348134,0.002316572765186288
Ag10Pd90,1.0,0.1,41,3,0.2226637247041522,0.02582779019150355,0.9867238790975277,0.013276120902472094
Ag10Pd90,1.0,1.0,41,3,0.5706681967751095,0.032971483190665285,0.9966729273111299,0.0033270726888700235
