,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,4300.0,3000.0,1.0,1.6e-05,1.1e-05
deltaG4_0,720.0,1300.0,1.0,0.00016,0.00013
deltaG5_0,150.0,170.0,1.0,0.0012,0.00092
beta_2_BF,780.0,1100.0,1.0,0.0017,0.0022
beta_2_ER,380.0,340.0,1.0,0.004,0.011
q,220.0,360.0,1.0,0.0037,0.0035
Gact1_0,1900.0,1300.0,1.0,0.0026,0.0022
Gact2_BF_0,150.0,160.0,1.0,0.0014,0.00094
Gact2_ER_0,150.0,160.0,1.0,0.0022,0.0055
Gact2_LH_0,2300.0,2100.0,1.0,7.7e-05,6.8e-05
sigma_ln_rate_material[Ag10Pd90],6100.0,2700.0,1.0,0.0001,7.7e-05
sigma_ln_rate_setup_material[Ag10Pd90],1500.0,2000.0,1.0,0.00069,0.00082
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=A],3000.0,2800.0,1.0,0.012,0.0085
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=B],3100.0,2900.0,1.0,0.012,0.0091
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=C],3100.0,2800.0,1.0,0.012,0.0086
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=A],3400.0,2700.0,1.0,0.011,0.0076
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=B],3400.0,2900.0,1.0,0.011,0.0078
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=C],2800.0,2300.0,1.0,0.013,0.009
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=A],3100.0,2700.0,1.0,0.013,0.0093
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=B],2800.0,2600.0,1.0,0.014,0.01
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=C],3500.0,2800.0,1.0,0.012,0.0083
