material,electrolyte_concentration_M,CO_mole_fraction,n_potentials,n_replicates,shared_rms,replicate_specific_rms,shared_fraction_squared_residual,replicate_fraction_squared_residual
Ag25Pd75,0.25,0.001,39,3,0.2602048919323083,0.47402513616366904,0.23154959055743082,0.7684504094425693
Ag25Pd75,0.25,0.01,41,3,0.5721910376240038,0.16854863704804005,0.9201581037136642,0.07984189628633588
Ag25Pd75,0.25,0.1,41,3,0.3657508463513574,0.22755286255048277,0.7209421035317032,0.27905789646829676
Ag25Pd75,0.25,1.0,41,3,0.22348125573469377,0.3088167331932259,0.3437017810626251,0.6562982189373749
Ag25Pd75,0.5,0.001,41,3,0.38668310537233536,0.11327982666283813,0.9209619119854603,0.07903808801453992
Ag25Pd75,0.5,0.01,41,3,0.26592610237395636,0.0495773770017261,0.9664102566493362,0.03358974335066331
Ag25Pd75,0.5,0.1,41,3,0.07456441070607668,0.061745114477756685,0.5932209928911821,0.4067790071088179
Ag25Pd75,0.5,1.0,41,3,0.48378406869735435,0.06827114700502229,0.9804742614048183,0.01952573859518133
Ag25Pd75,1.0,0.001,41,3,0.16878017059823577,0.04494837930795514,0.9337742159146692,0.06622578408533081
Ag25Pd75,1.0,0.01,41,3,0.40947235081917294,0.015591036579004857,0.9985523231030463,0.0014476768969540934
Ag25Pd75,1.0,0.1,41,3,0.10964673289413696,0.016098362064399945,0.9788986747923893,0.0211013252076107
Ag25Pd75,1.0,1.0,41,3,0.40229567222117035,0.04760583174091954,0.986190109466345,0.013809890533655365
