,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,4100.0,2800.0,1.0,1.4e-05,9.6e-06
deltaG4_0,2400.0,2700.0,1.0,7.9e-05,5.7e-05
deltaG5_0,1400.0,1500.0,1.0,7e-05,4.8e-05
beta_2,2300.0,1900.0,1.0,0.00013,0.00015
q,2000.0,2500.0,1.0,0.00015,0.00012
Gact2_BF_0,1500.0,1500.0,1.0,4.8e-05,3.4e-05
Gact2_LH_0,3000.0,2500.0,1.0,0.0023,0.0022
sigma_ln_rate_material[Ag25Pd75],5100.0,2800.0,1.0,0.0001,7.2e-05
sigma_ln_rate_setup_material[Ag25Pd75],1600.0,1900.0,1.0,0.0011,0.0015
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=0.25 | replicate=A],2000.0,2200.0,1.0,0.015,0.011
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=0.25 | replicate=B],2100.0,2300.0,1.0,0.014,0.01
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=0.25 | replicate=C],2500.0,2400.0,1.0,0.014,0.01
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=0.5 | replicate=A],2600.0,2400.0,1.0,0.012,0.0084
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=0.5 | replicate=B],2500.0,2300.0,1.0,0.012,0.0082
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=0.5 | replicate=C],2600.0,2400.0,1.0,0.012,0.0085
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=1.0 | replicate=A],2300.0,2400.0,1.0,0.013,0.009
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=1.0 | replicate=B],2500.0,2400.0,1.0,0.012,0.0081
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=1.0 | replicate=C],2500.0,2300.0,1.0,0.012,0.0085
