material,electrolyte_concentration_M,CO_mole_fraction,replicate,n_points,mean_residual,mean_abs_residual,rms_residual,lag1_residual_correlation,residual_slope_per_V
Ag50Pd50,0.25,0.001,A,41,0.36643415536168283,0.36643415536168283,0.40579576454785415,0.9774087685702447,-0.851617724269863
Ag50Pd50,0.25,0.001,B,41,0.2282872712972048,0.25085258397300153,0.2977731312759447,0.9794284506784551,-0.6396654129231903
Ag50Pd50,0.25,0.001,C,41,0.17190894690931977,0.24599145296167327,0.2792208852229003,0.9860305159840569,0.8132330643539395
Ag50Pd50,0.25,0.01,A,41,-0.37851959866428114,0.37851959866428114,0.3936143041186347,0.9390669924772189,0.09291943507629866
Ag50Pd50,0.25,0.01,B,41,-0.3333387738854744,0.3333387738854744,0.3600156243642974,0.9687154631437646,0.6815270917679738
Ag50Pd50,0.25,0.01,C,41,-0.30016599159833324,0.3090397596989018,0.3808787036004943,0.9910044576570115,1.68091394848923
Ag50Pd50,0.25,0.1,A,41,-0.40267515858720015,0.40267515858720015,0.4343087065734119,0.9898797897348696,-0.909965012503096
Ag50Pd50,0.25,0.1,B,41,-0.30798309308999194,0.30798309308999194,0.33366159900600306,0.9842584819028787,-0.0781425007447357
Ag50Pd50,0.25,0.1,C,41,-0.09588494120804644,0.13328471078023066,0.19821862583712313,0.995062124485069,0.8318257102485193
Ag50Pd50,0.25,1.0,A,41,-0.13401386890609354,0.20139624972024078,0.2804394053814907,0.9978188554223351,-1.8371755134422547
Ag50Pd50,0.25,1.0,B,41,0.13886089436916638,0.1885161167418151,0.2121079480706857,0.9933864715555387,-0.9854994973795309
Ag50Pd50,0.25,1.0,C,41,0.34978934031701914,0.34978934031701914,0.3701140799877008,0.9854123762024181,0.027009453836606547
Ag50Pd50,0.5,0.001,A,41,0.20346047129807593,0.22121953269362762,0.25534752336570915,0.9707859353418613,-0.6762595829211336
Ag50Pd50,0.5,0.001,B,41,0.2246768321660697,0.24060591388165842,0.27809930181275033,0.9713629152163455,-0.7086570549561385
Ag50Pd50,0.5,0.001,C,41,-0.17332672717446818,0.207486276639869,0.2867217806218069,0.9790398773188673,1.3656283312203048
Ag50Pd50,0.5,0.01,A,41,-0.19074579109590123,0.21586225014371122,0.23483211893785505,0.9726887893971664,0.8156946886460928
Ag50Pd50,0.5,0.01,B,41,-0.18110571871282513,0.20306371424768407,0.22413135430260303,0.9685377175836813,0.7616255261272844
Ag50Pd50,0.5,0.01,C,41,-0.6312061897025271,0.6450658479794336,0.7033349042246727,0.9915766531351368,2.4222146128293893
Ag50Pd50,0.5,0.1,A,41,0.042257987442065346,0.07609369290514381,0.09168709119547332,0.9735369912786405,0.17208995664030782
Ag50Pd50,0.5,0.1,B,41,0.04173560895920549,0.07986483093575793,0.09558132791004806,0.9766738540026153,0.11208727930717191
Ag50Pd50,0.5,0.1,C,41,-0.45618310971037007,0.45618310971037007,0.492860304930779,0.9948292319852428,1.319644225361317
Ag50Pd50,0.5,1.0,A,41,0.5268106023588264,0.5268106023588264,0.5378939730232235,0.9911293698163783,-0.6400451819828936
Ag50Pd50,0.5,1.0,B,41,0.5042503280549883,0.5042503280549883,0.517311871335406,0.9914578355717096,-0.6895705333792563
Ag50Pd50,0.5,1.0,C,41,-0.028600476210756804,0.0675613013929136,0.10642933626861315,0.9952505138468312,0.512010354879967
Ag50Pd50,1.0,0.001,A,41,0.3154426506855389,0.36361444143920557,0.42976333736379413,0.9873090152774099,-2.064227503212408
Ag50Pd50,1.0,0.001,B,41,0.4074068043856367,0.4078640246533738,0.4723988125955205,0.9805503244222091,-1.4610655765502176
Ag50Pd50,1.0,0.001,C,41,-0.12335986967271649,0.21574949538594776,0.2760384974034078,0.9760250287396455,-1.3332009818116364
Ag50Pd50,1.0,0.01,A,41,-0.16060260777880883,0.2024315010406773,0.21758497356216117,0.9782901405668509,0.226655853229801
Ag50Pd50,1.0,0.01,B,41,-0.23252041815797186,0.27074625219678405,0.28263651968293274,0.983542593959276,0.35101793655555663
Ag50Pd50,1.0,0.01,C,41,-0.4684901263317843,0.47879602452023823,0.49445945321294177,0.9874335240757897,0.650541614048631
Ag50Pd50,1.0,0.1,A,41,0.00014017553025404546,0.049088629637983466,0.05641557570036228,0.9515130159357126,-0.31932651500986653
Ag50Pd50,1.0,0.1,B,41,-0.020381587814645073,0.04977815612886689,0.06135887151088032,0.9345643612693567,-0.18285479365573482
Ag50Pd50,1.0,0.1,C,41,-0.20199533647028714,0.20199533647028714,0.20848398505638976,0.93131258341375,0.13793123997153434
Ag50Pd50,1.0,1.0,A,41,0.5101655636095322,0.5101655636095322,0.5139989595860355,0.9946578860393634,-0.4419031493289805
Ag50Pd50,1.0,1.0,B,41,0.3764695010624708,0.3764695010624708,0.3819555785855541,0.9961300408664453,-0.4910710256080118
Ag50Pd50,1.0,1.0,C,41,0.4117151756763372,0.4117151756763372,0.41441296832424057,0.9807850040205173,0.05083886128800298
