material,electrolyte_concentration_M,CO_mole_fraction,n_potentials,n_replicates,shared_rms,replicate_specific_rms,shared_fraction_squared_residual,replicate_fraction_squared_residual
Ag90Pd10,0.25,0.001,41,3,0.35439015164783455,0.4060155845534892,0.4324195436348975,0.5675804563651026
Ag90Pd10,0.25,0.01,41,3,0.3992650241529651,0.26473141864276584,0.694622377684226,0.30537762231577387
Ag90Pd10,0.25,0.1,41,3,0.34012841106719716,0.32559394007634823,0.5218222299586609,0.4781777700413391
Ag90Pd10,0.25,1.0,41,3,0.2840164005148478,0.2525005778466382,0.5585395252232705,0.44146047477672956
Ag90Pd10,0.5,0.001,41,3,0.26869728386898717,0.10615390956941714,0.8649925320238913,0.13500746797610866
Ag90Pd10,0.5,0.01,41,3,0.4338301658629098,0.09371373378528342,0.955417915557627,0.04458208444237253
Ag90Pd10,0.5,0.1,41,3,0.3239549019140935,0.09998337114735324,0.9130296311203131,0.08697036887968677
Ag90Pd10,0.5,1.0,41,3,0.41907812120207044,0.1741537655668318,0.8527378021660275,0.14726219783397287
Ag90Pd10,1.0,0.001,41,3,0.5112646710770054,0.21080728499435467,0.8546920639056138,0.1453079360943863
Ag90Pd10,1.0,0.01,41,3,0.33426415278017607,0.14615525521929426,0.8395015741290335,0.1604984258709667
Ag90Pd10,1.0,0.1,41,3,0.2561322132175354,0.14710671803862924,0.7519558663388107,0.24804413366118935
Ag90Pd10,1.0,1.0,41,3,0.3316789095666932,0.12251667771987253,0.8799377059826027,0.12006229401739725
