material,electrolyte_concentration_M,CO_mole_fraction,replicate,n_points,mean_residual,mean_abs_residual,rms_residual,lag1_residual_correlation,residual_slope_per_V
Ag90Pd10,0.25,0.001,A,41,0.3085818586267972,0.31881235482962234,0.36677317608353316,0.9701881251389778,-0.8903419627902728
Ag90Pd10,0.25,0.001,B,41,0.4130651514910047,0.4130651514910047,0.44439794577697017,0.9635461811365355,-0.5458322675863962
Ag90Pd10,0.25,0.001,C,41,0.1662901842941161,0.2563012808981664,0.2973508635196723,0.9652924656389685,-0.017640612623865654
Ag90Pd10,0.25,0.01,A,41,-0.36346884290380704,0.36346884290380704,0.38388329778851477,0.9404751702762539,0.011218862002032088
Ag90Pd10,0.25,0.01,B,41,-0.44652275833191796,0.44652275833191796,0.45930422882685934,0.9365149566611739,0.12654016979509441
Ag90Pd10,0.25,0.01,C,41,-0.3246681299442445,0.3246681299442445,0.3604143945957314,0.9567541551645016,0.20220428290577225
Ag90Pd10,0.25,0.1,A,41,-0.3557261532221131,0.3557261532221131,0.369445150626782,0.9811479259339,0.21793261466524386
Ag90Pd10,0.25,0.1,B,41,-0.274989695897907,0.274989695897907,0.29219631718724287,0.9825370817014119,0.5807815438013686
Ag90Pd10,0.25,0.1,C,41,-0.34698979069520713,0.34698979069520713,0.3645689095201089,0.9794785166281691,0.06439344986556983
Ag90Pd10,0.25,1.0,A,41,0.28977913425349106,0.28977913425349106,0.29555111555022495,0.9841586719143932,-0.03378261656174649
Ag90Pd10,0.25,1.0,B,41,0.19231397496229216,0.19231397496229216,0.20191986637898965,0.9844828741789892,-0.021643220462483227
Ag90Pd10,0.25,1.0,C,41,0.3457622983724807,0.3457622983724807,0.35673457731003466,0.989064494245194,-0.38443908593237425
Ag90Pd10,0.5,0.001,A,41,0.1641257961698247,0.24256481291787982,0.2665969813389552,0.9630892622239838,-1.0191859057767558
Ag90Pd10,0.5,0.001,B,41,0.13001830873612535,0.2176160837687675,0.24143939152131488,0.9588167640396923,-0.8788661264390186
Ag90Pd10,0.5,0.001,C,41,0.26122738316581745,0.2748510660778124,0.3157711825878963,0.9526323825020148,-0.47948369730218976
Ag90Pd10,0.5,0.01,A,41,-0.43463263833486215,0.4368374775486856,0.45450788229124234,0.9430249181169386,-0.030072827676533107
Ag90Pd10,0.5,0.01,B,41,-0.40704813081042424,0.4126178463348464,0.429107253748099,0.9495784183915575,0.07153451093040561
Ag90Pd10,0.5,0.01,C,41,-0.39786385595605733,0.4055784290954549,0.42196279600109504,0.9633746849566699,0.5065323924320829
Ag90Pd10,0.5,0.1,A,41,-0.3322136380014328,0.3322136380014328,0.3396398530627977,0.9521101755265355,0.31866010005655854
Ag90Pd10,0.5,0.1,B,41,-0.32175692493766733,0.32175692493766733,0.32971918249227217,0.934225853157373,0.19848590708046063
Ag90Pd10,0.5,0.1,C,41,-0.28952240216592695,0.29398151978846315,0.31249459196443785,0.9774865705728369,0.8706412340640683
Ag90Pd10,0.5,1.0,A,41,0.48426407248521275,0.48426407248521275,0.4889364022032364,0.9788780526649281,0.3517236515548819
Ag90Pd10,0.5,1.0,B,41,0.46624982347005584,0.46624982347005584,0.4697485386531616,0.9746391174609764,0.09435984384747688
Ag90Pd10,0.5,1.0,C,41,0.2897900965089904,0.2897900965089904,0.29624413032499464,0.9922362366387135,0.4442107515761896
Ag90Pd10,1.0,0.001,A,41,0.41152325946572743,0.4357866765450478,0.5131610042750733,0.9772864971504441,-1.6069706342123966
Ag90Pd10,1.0,0.001,B,41,0.5293129736171496,0.5293129736171496,0.6121233169222527,0.9771734667226294,-1.4974405418777794
Ag90Pd10,1.0,0.001,C,41,0.3432103359271867,0.3614328711120286,0.4156627864511874,0.9666163224941041,-0.8472922333145073
Ag90Pd10,1.0,0.01,A,41,-0.26315550195450416,0.3111293144148714,0.32889382385491017,0.9812073284082475,0.33080901724170114
Ag90Pd10,1.0,0.01,B,41,-0.2730428449164519,0.3315512185407857,0.35193090580959974,0.9837016968390616,0.4208204341462999
Ag90Pd10,1.0,0.01,C,41,-0.2649091293659154,0.3148477276177762,0.32769381396161196,0.9843368773707072,0.548311483603672
Ag90Pd10,1.0,0.1,A,41,-0.23521014211273816,0.2529457647578015,0.25883327571424886,0.9936604845910819,0.5452888641036842
Ag90Pd10,1.0,0.1,B,41,-0.2151182578550595,0.2547564341257876,0.26243820893073855,0.9982768848703107,0.7280569526646914
Ag90Pd10,1.0,0.1,C,41,-0.22808741463680332,0.2479940844311691,0.2555831637306663,0.980941004740395,0.6236162877953179
Ag90Pd10,1.0,1.0,A,41,0.35443769656075447,0.35443769656075447,0.36043117750280945,0.9905192712134705,0.4526589236594389
Ag90Pd10,1.0,1.0,B,41,0.22462342245023625,0.22462342245023625,0.22803375514276283,0.9858178985656401,0.2622205296659372
Ag90Pd10,1.0,1.0,C,41,0.3958163738875089,0.3958163738875089,0.40088543425287243,0.9802969476013489,0.28174277616938165
