observable,n_points,median_abs_residual,median_abs_standardized_residual,posterior_95_hdi_contains_experimental_mean,median_chain_median_range_over_exp_sd,p95_chain_median_range_over_exp_sd,max_chain_median_range_over_exp_sd,material
alpha,477,0.08084366436801749,7.587445611287845,0.010482180293501049,0.04926162303882561,0.2778085605859906,0.9513222622012979,Ag10Pd90
delta_OH,152,0.15005227444399083,1.5029486978283169,0.039473684210526314,0.015262543084538439,0.03791988447731521,0.04215202210011234,Ag10Pd90
delta_CO,354,0.25562773661334526,14.892496558922705,0.011299435028248588,0.009184397383324994,0.053850411053289485,0.22051134881546405,Ag10Pd90
alpha,490,0.032887627093052506,2.6618886086542757,0.09183673469387756,0.05261546140973358,0.26369566605075806,2.767884320537892,Ag25Pd75
delta_OH,162,0.16659898253463767,0.9272797523116689,0.07407407407407407,0.005609684886667967,0.01987974625138509,0.02331840422701046,Ag25Pd75
delta_CO,367,0.19738950679040654,5.61968359789817,0.008174386920980926,0.004406877657136995,0.07735727034941581,0.15265742195205,Ag25Pd75
alpha,492,0.031547408591297024,2.1187856238102603,0.09349593495934959,0.029563122284090117,0.1540686264118305,0.7844696746660252,Ag50Pd50
delta_OH,164,0.16854136057001362,0.9399568375677207,0.042682926829268296,0.006898538198337723,0.014202751350382365,0.018555646711137103,Ag50Pd50
delta_CO,369,0.16371076232905957,4.795573203314979,0.013550135501355014,0.005392974227292832,0.06271031364256476,0.17214689290990526,Ag50Pd50
alpha,492,0.016931296357766093,1.8184476135262029,0.1951219512195122,0.034347007963079317,0.3073911777388186,1.4454853116840651,Ag75Pd25
delta_OH,164,0.07348331568606514,0.5054729280672603,0.09146341463414634,0.009238978282188788,0.028364067769426612,0.041621324161975184,Ag75Pd25
delta_CO,369,0.19920107273129398,5.078432616563835,0.013550135501355014,0.008455222573023839,0.04012824506509743,0.2534313913328069,Ag75Pd25
alpha,492,0.042804384642310206,4.207383713949676,0.08536585365853659,0.04934268553393871,0.29649954072011103,1.5422608995428677,Ag90Pd10
delta_OH,164,0.07079781453989242,0.27480789990215604,0.08536585365853659,0.004583086506381863,0.015274057900321405,0.025436266792501713,Ag90Pd10
delta_CO,369,0.250111557520068,5.991723885525529,0.01084010840108401,0.008545168779803764,0.11656985505314044,0.32109015533668145,Ag90Pd10
alpha,488,0.036890572141494604,1.9288986514310622,0.11270491803278689,0.014836449445183166,0.15577826601448563,0.5285255634755704,Pd100
delta_OH,161,0.10975790919614359,0.971079442351582,0.031055900621118012,0.0003052389937408073,0.02063732319674426,0.06841924617022037,Pd100
delta_CO,365,0.17925949238123778,4.1416862423562595,0.0136986301369863,0.0053411529543972835,0.09551750894921232,0.24150512497245283,Pd100
