parameter,mean,sd,median,hdi95_lower,hdi95_upper,r_hat,ess_bulk,ess_tail
deltaG1_0,-0.12343404654867682,0.0006343516507652835,-0.12342659324320042,-0.12469169985829916,-0.12221533200841408,1.001666554082304,1743.3094997007186,2165.923899808227
deltaG4_0,0.0990064185566931,0.0024128012836382366,0.09905241023134202,0.09405938260484116,0.1033830942956281,1.0022935569855442,1222.9435961659149,1296.2821000480315
deltaG5_0,-0.01230449495543706,0.0021621281436528333,-0.012224598947440182,-0.01680836206499593,-0.008509542999119551,1.00409270255214,807.3419905806948,1076.2684183420042
beta_2_BF,0.0015219207370449014,0.0014920876649982331,0.0010698432202106366,4.469088406657236e-07,0.004552737680803188,0.9999567923347442,3757.178458114076,2554.5427617044556
beta_2_ER,0.31803335405120337,0.0023306815679528694,0.3180596559032828,0.3136471771876622,0.3225986461117055,1.0000258299082811,4370.701721245961,3281.9639526746046
q,0.3433011313017301,0.004809551016285515,0.34319650032470317,0.3339693880486457,0.3527921636575934,1.003938674138358,1206.8846051792766,1705.3344445027008
Gact1_0,0.5724756838060912,0.003636211103591277,0.5727796988735001,0.5653946344865897,0.5791363529858984,1.0021037835155462,1225.525128244092,1313.641965082724
Gact2_BF_0,0.6908931513199398,0.0015115369612316927,0.6908662073834395,0.6878960563418631,0.6937477953108826,1.0042283708771422,727.8739835486746,1167.640815035319
Gact2_ER_0,0.7569625952893551,0.0018994893664366181,0.7568816576255952,0.7533081754161506,0.7607353855738637,1.00584995939345,621.0764842734916,971.546982492159
Gact2_LH_0,0.7354524266650233,0.0055684932288343845,0.7349380014911417,0.7253439005295854,0.7466343898568255,1.0013605608166913,4331.397942987576,3001.477933670371
deltaG1_0_xAg_slope,0.045480450801235466,0.0012904770985286524,0.04546655084813779,0.04304636317645354,0.04789218991445168,1.0010224043206684,4915.656896948818,3023.8266453450938
deltaG4_0_xAg_slope,-0.053756916308381704,0.005025278868363915,-0.05370396260514562,-0.06359832030152139,-0.04418730857736043,1.0023870023052404,1814.9408857884835,2089.7590728457667
deltaG5_0_xAg_slope,-0.030042470445867452,0.003589640437407994,-0.03004621677937129,-0.036807962714414916,-0.022694536933290377,1.0008824680087893,1478.7506265475088,1807.695847930353
Gact2_BF_0_xAg_slope,0.040532285384886964,0.002911536421182108,0.04056222315200993,0.035215711897394336,0.04656112187612663,1.0007586309949108,1407.551967697613,1615.7038266663535
Gact2_ER_0_xAg_slope,-0.02467553930559351,0.0038090358573408547,-0.024824028185911652,-0.03213990682066402,-0.017228386565935762,1.0058948862896517,645.4772226921901,881.4813152042507
