material,electrolyte_concentration_M,CO_mole_fraction,replicate,n_points,mean_residual,mean_abs_residual,rms_residual,lag1_residual_correlation,residual_slope_per_V
Ag10Pd90,0.25,0.001,A,33,-0.5542264093220658,0.5966668522326012,0.7122132991825169,0.9990601650828135,4.684256191116347
Ag10Pd90,0.25,0.001,B,33,-0.3795863236957143,0.48767419621675845,0.564437395691389,0.9995031252842687,4.326105426629478
Ag10Pd90,0.25,0.001,C,33,-0.7009802958976773,0.7009802958976773,0.86339547228251,0.9986501531104212,5.240832135901495
Ag10Pd90,0.25,0.01,A,37,-1.245723792029667,1.245723792029667,1.3102361025012867,0.9988939297410341,3.782449395924422
Ag10Pd90,0.25,0.01,B,37,-1.2334792467060887,1.2334792467060887,1.2875239936361602,0.9990761288516918,3.4408877129317323
Ag10Pd90,0.25,0.01,C,37,-1.3449818291763724,1.3449818291763724,1.442111839427289,0.9994588933353535,4.84246140295594
Ag10Pd90,0.25,0.1,A,41,-0.8793037084333298,0.8793037084333298,0.934727992358418,0.9997245979031426,2.6164402950187444
Ag10Pd90,0.25,0.1,B,41,-0.8440158741644265,0.8440158741644265,0.8930962603027348,0.9999195377172537,2.3950495935412444
Ag10Pd90,0.25,0.1,C,41,-1.0028271487218448,1.0028271487218448,1.072482331255831,0.9998468036358938,3.141712234805076
Ag10Pd90,0.25,1.0,A,41,-0.1251886853404139,0.20397042356180475,0.2859624357492121,0.9993709817403806,2.015283955037787
Ag10Pd90,0.25,1.0,B,41,-0.21376368681199642,0.21376368681199642,0.3151994053573373,0.9996684957281764,1.8152770092039194
Ag10Pd90,0.25,1.0,C,41,-0.3048616425786542,0.3048616425786542,0.40731273834222126,0.9990981564339994,2.087023721757932
Ag10Pd90,0.5,0.001,A,38,-0.45019823734409015,0.45019823734409015,0.5379407192064621,0.9973183651469512,2.556383214235475
Ag10Pd90,0.5,0.001,B,38,-0.4909966703876941,0.4909966703876941,0.5429464778608141,0.991172312158492,1.752826428705836
Ag10Pd90,0.5,0.001,C,38,-0.6438534299627509,0.6438534299627509,0.7519910151789058,0.9967506145830536,3.289928237005544
Ag10Pd90,0.5,0.01,A,41,-1.0674644878730768,1.0674644878730768,1.123390605377594,0.9974587403798195,2.8988899641544736
Ag10Pd90,0.5,0.01,B,41,-1.0275682430390263,1.0275682430390263,1.0833048676703032,0.9980755061529932,2.8461962980355264
