parameter           , ess_bulk          , ess_tail          , r_hat             , mcse_mean            , mcse_sd
deltaG1_0           , 5.096845659018004 , 10.9278770882875  , 2.215639421996093 , 0.0009073506715291327, 0.0004946976495848426
deltaG4_0           , 5.868816095584476 , 11.011913259236536, 1.815806768131317 , 0.007539620764842458 , 0.004370658263352589
deltaG5_0           , 4.910734760357492 , 10.815531401442788, 2.414542878106284 , 0.08335874336838726  , 0.04220521586700316
beta_2_BF           , 5.261538082082095 , 10.74429688898423 , 2.100692092044123 , 0.060396577976738156 , 0.0069740020038561645
beta_2_ER           , 4.902264547197063 , 10.663052626417063, 2.405705905777421 , 0.0037695957421762113, 0.00196392182303032
q                   , 5.254953824412268 , 10.763677955592806, 2.107690333691708 , 0.07305146157049629  , 0.021344420932100625
Gact1_0             , 4.906237703965194 , 11.027759211727968, 2.4163469574178906, 0.023408105312324873 , 0.036050066150904045
Gact2_BF_0          , 4.909344221968826 , 11.018511040971058, 2.4169480022728598, 0.044232735181262306 , 0.024933015447612332
Gact2_ER_0          , 4.913209594158763 , 10.848425071285103, 2.4172744597076377, 0.011248952101596335 , 0.005888813657071055
Gact2_LH_0          , 6.8626731824787655, 11.151991690953702, 1.5749368065792642, 0.0024093329810516385, 0.0020519330318609064
deltaG1_0_xAg_slope , 6.132337511929712 , 37.790198589603904, 1.7350124724336626, 0.0028012541884357275, 0.0006433956451699496
deltaG4_0_xAg_slope , 5.780054803731158 , 18.52734799348203 , 1.8484560501550744, 0.005321701626336929 , 0.0019379623668098042
deltaG5_0_xAg_slope , 4.916247415923631 , 11.691409746853624, 2.412979701208969 , 0.30274469822942524  , 0.15367575135840408
Gact2_BF_0_xAg_slope, 4.924931106498479 , 10.854813952601654, 2.417229647710318 , 0.15717310782557606  , 0.08977559836626513
Gact2_ER_0_xAg_slope, 4.910873384864079 , 11.14970127651423 , 2.415714140816971 , 0.02334089360074557  , 0.01221612826679657
