material,electrolyte_concentration_M,CO_mole_fraction,n_potentials,n_replicates,shared_rms,replicate_specific_rms,shared_fraction_squared_residual,replicate_fraction_squared_residual
Ag10Pd90,0.25,0.001,33,3,1.2111989646894306,0.14766795910265282,0.9853535076111751,0.014646492388824808
Ag10Pd90,0.25,0.01,37,3,1.8878968836184669,0.08390801102980859,0.9980285159657687,0.0019714840342315502
Ag10Pd90,0.25,0.1,41,3,1.51431023053983,0.07809804592623702,0.9973472457737016,0.0026527542262983392
Ag10Pd90,0.25,1.0,41,3,0.8251362225831008,0.07537264981575909,0.9917250090500184,0.008274990949981962
Ag10Pd90,0.5,0.001,38,3,1.1292687545967324,0.11190332498725132,0.9902759409860743,0.009724059013925689
Ag10Pd90,0.5,0.01,41,3,1.6632721647928108,0.06774925105338794,0.9983436107590455,0.0016563892409544793
Ag10Pd90,0.5,0.1,41,3,1.2617403276947836,0.05973285365375527,0.9977637812078842,0.002236218792115898
Ag10Pd90,0.5,1.0,41,3,0.5900491774706614,0.04821035966440743,0.9933684554858997,0.0066315445141001675
Ag10Pd90,1.0,0.001,41,3,1.4264949085653287,0.08195659043999154,0.9967099982563148,0.0032900017436850535
Ag10Pd90,1.0,0.01,41,3,1.8195808043108945,0.08553196224906075,0.9977952689502053,0.0022047310497945957
Ag10Pd90,1.0,0.1,41,3,1.3085987479964318,0.07957245070077144,0.9963160849363243,0.003683915063675712
Ag10Pd90,1.0,1.0,41,3,0.5225619639069348,0.09375124632998914,0.9688168354451778,0.03118316455482165
Ag25Pd75,0.25,0.001,39,3,0.17848267804675008,0.6648230164192496,0.06722877451981649,0.9327712254801837
Ag25Pd75,0.25,0.01,41,3,0.48811102841769144,0.29841150609964284,0.7279287002187327,0.2720712997812673
Ag25Pd75,0.25,0.1,41,3,0.17751242148509772,0.1392921617493803,0.6189122769964168,0.3810877230035832
Ag25Pd75,0.25,1.0,41,3,0.38648651131910194,0.15000911275732182,0.8690746655103688,0.13092533448963106
Ag25Pd75,0.5,0.001,41,3,0.3977642287851663,0.08157359431339811,0.9596395600082414,0.04036043999175867
Ag25Pd75,0.5,0.01,41,3,0.20188893422186008,0.07657803096116446,0.8742218971194756,0.1257781028805246
Ag25Pd75,0.5,0.1,41,3,0.2509605456262627,0.12592109704451274,0.798875417700676,0.201124582299324
Ag25Pd75,0.5,1.0,41,3,0.721761907861676,0.13668943745403886,0.9653759033722444,0.03462409662775542
Ag25Pd75,1.0,0.001,41,3,0.22584819178932256,0.11401669638103278,0.7969009040173188,0.203099095982681
Ag25Pd75,1.0,0.01,41,3,0.28778902804811757,0.1274288548160008,0.8360790580801627,0.16392094191983753
Ag25Pd75,1.0,0.1,41,3,0.13632786446057515,0.13143045600731082,0.5182842894244885,0.4817157105755119
Ag25Pd75,1.0,1.0,41,3,0.642341783763554,0.1584836237154444,0.9426184376195029,0.057381562380497075
Ag50Pd50,0.25,0.001,41,3,0.2521592615160211,0.12373342767671754,0.8059432684694181,0.1940567315305822
Ag50Pd50,0.25,0.01,41,3,0.401543045493931,0.08690574720392798,0.9552542534004943,0.04474574659950559
Ag50Pd50,0.25,0.1,41,3,0.36279317268270345,0.15383797725104134,0.8475955706369995,0.15240442936300064
Ag50Pd50,0.25,1.0,41,3,0.25316690603931435,0.21766665947439992,0.5749725004344934,0.42502749956550645
Ag50Pd50,0.5,0.001,41,3,0.15068671544376738,0.2162673097140784,0.32681531739028274,0.6731846826097169
Ag50Pd50,0.5,0.01,41,3,0.3495107582372789,0.22917583991292073,0.6993258224718573,0.30067417752814257
Ag50Pd50,0.5,0.1,41,3,0.15837062322801448,0.24413401356427342,0.29617930139431337,0.7038206986056865
Ag50Pd50,0.5,1.0,41,3,0.3413424584050826,0.2650062871799696,0.6239305894720091,0.37606941052799087
Ag50Pd50,1.0,0.001,41,3,0.3872782800541085,0.2351670338871174,0.7306051312328523,0.2693948687671475
Ag50Pd50,1.0,0.01,41,3,0.26152330184825245,0.1338825507480158,0.7923453396497033,0.2076546603502971
Ag50Pd50,1.0,0.1,41,3,0.1555869447776722,0.09494873013667672,0.7286403667709526,0.2713596332290474
Ag50Pd50,1.0,1.0,41,3,0.4478928393156111,0.06415055442660866,0.9798982634049129,0.020101736595086978
Ag75Pd25,0.25,0.001,41,3,0.29668706721234983,0.19877838834533543,0.690182944484085,0.30981705551591504
Ag75Pd25,0.25,0.01,41,3,0.3852532310087206,0.07946653168536257,0.9591887394154633,0.04081126058453653
Ag75Pd25,0.25,0.1,41,3,0.317289792249942,0.05049170466658991,0.9753017118906764,0.02469828810932334
Ag75Pd25,0.25,1.0,41,3,0.17283195857126954,0.06879679296298571,0.863223485651835,0.13677651434816485
Ag75Pd25,0.5,0.001,41,3,0.5446009957605463,0.10536125293567396,0.9639216453318986,0.03607835466810135
Ag75Pd25,0.5,0.01,41,3,0.18272626649253834,0.0440272397107978,0.9451302933394167,0.05486970666058325
Ag75Pd25,0.5,0.1,41,3,0.07674452929893237,0.06758296316603797,0.5632228720607363,0.4367771279392637
Ag75Pd25,0.5,1.0,41,3,0.4281551986651071,0.10061744002910766,0.9476642352535811,0.05233576474641885
Ag75Pd25,1.0,0.001,41,3,0.2817699662725179,0.2146281094505012,0.6328280365272925,0.3671719634727075
Ag75Pd25,1.0,0.01,41,3,0.4038131885638838,0.1790791320196441,0.8356551631939073,0.1643448368060926
Ag75Pd25,1.0,0.1,41,3,0.23538635890784618,0.07592886994423569,0.905754270412647,0.09424572958735292
Ag75Pd25,1.0,1.0,41,3,0.3046574570474503,0.09988469308154137,0.9029414410070765,0.09705855899292357
Ag90Pd10,0.25,0.001,41,3,0.2830988147803822,0.4060155845534892,0.3271307534087964,0.6728692465912037
Ag90Pd10,0.25,0.01,41,3,0.4721052976383591,0.26473141864276584,0.7607821676744434,0.23921783232555685
Ag90Pd10,0.25,0.1,41,3,0.3450266937356603,0.32559394007634823,0.5289529564643317,0.47104704353566845
Ag90Pd10,0.25,1.0,41,3,0.3593791266863318,0.2525005778466382,0.6695009312373654,0.33049906876263446
Ag90Pd10,0.5,0.001,41,3,0.16706211195047843,0.10615390956941714,0.7123759007804613,0.2876240992195388
Ag90Pd10,0.5,0.01,41,3,0.5196925808643325,0.09371373378528342,0.9685068468796117,0.0314931531203883
Ag90Pd10,0.5,0.1,41,3,0.36148943905910697,0.09998337114735324,0.9289359287670959,0.07106407123290426
Ag90Pd10,0.5,1.0,41,3,0.4478902188722246,0.1741537655668318,0.8686664640302268,0.13133353596977337
Ag90Pd10,1.0,0.001,41,3,0.32668947009708266,0.21080728499435464,0.7060199162171857,0.29398008378281426
Ag90Pd10,1.0,0.01,41,3,0.4321858971608545,0.14615525521929426,0.8973732006714851,0.10262679932851503
Ag90Pd10,1.0,0.1,41,3,0.3342042826032847,0.14710671803862924,0.8376965604360723,0.16230343956392781
Ag90Pd10,1.0,1.0,41,3,0.27776565801183944,0.12251667771987253,0.8371346674745369,0.162865332525463
Pd100,0.25,0.001,38,3,0.4157779075865167,0.19797319462314936,0.8151819032158573,0.18481809678414313
Pd100,0.25,0.01,41,3,0.3193590991679142,0.08086109325479356,0.9397531403910547,0.060246859608945345
Pd100,0.25,0.1,41,3,0.19075284722884747,0.15178620484992636,0.6123049167615792,0.3876950832384207
Pd100,0.25,1.0,41,3,0.4870791740273499,0.11393617522868099,0.9481214167217361,0.051878583278263814
Pd100,0.5,0.001,40,3,0.1792617738030435,0.1974363212432882,0.4518650618784473,0.5481349381215526
Pd100,0.5,0.01,41,3,0.499091806331009,0.15258864184815996,0.9145177987338137,0.08548220126618636
Pd100,0.5,0.1,41,3,0.1642547403868405,0.14022914625082034,0.5784177219129389,0.42158227808706106
Pd100,0.5,1.0,41,3,0.24116341462960011,0.13215503562242933,0.769057691231794,0.23094230876820604
Pd100,1.0,0.001,41,3,0.18912275213967247,0.08442422709195882,0.8338390845267953,0.16616091547320483
Pd100,1.0,0.01,41,3,0.37424188767365146,0.07487017330567551,0.961516920499221,0.03848307950077862
Pd100,1.0,0.1,41,3,0.09142363512625987,0.06861124634209088,0.6397075706893723,0.36029242931062794
Pd100,1.0,1.0,41,3,0.3387698592174563,0.06497490623615923,0.9645192575717585,0.035480742428241785
