,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,5.1,11.0,2.2,0.00091,0.00049
deltaG4_0,5.9,11.0,1.8,0.0075,0.0044
deltaG5_0,4.9,11.0,2.4,0.083,0.042
beta_2_BF,5.3,11.0,2.1,0.06,0.007
beta_2_ER,4.9,11.0,2.4,0.0038,0.002
q,5.3,11.0,2.1,0.073,0.021
Gact1_0,4.9,11.0,2.4,0.023,0.036
Gact2_BF_0,4.9,11.0,2.4,0.044,0.025
Gact2_ER_0,4.9,11.0,2.4,0.011,0.0059
Gact2_LH_0,6.9,11.0,1.6,0.0024,0.0021
deltaG1_0_xAg_slope,6.1,38.0,1.7,0.0028,0.00064
deltaG4_0_xAg_slope,5.8,19.0,1.8,0.0053,0.0019
deltaG5_0_xAg_slope,4.9,12.0,2.4,0.3,0.15
Gact2_BF_0_xAg_slope,4.9,11.0,2.4,0.16,0.09
Gact2_ER_0_xAg_slope,4.9,11.0,2.4,0.023,0.012
sigma_ln_rate_material[Ag10Pd90],5.6,13.0,1.9,0.2,0.011
sigma_ln_rate_material[Ag25Pd75],7.0,25.0,1.6,0.0056,0.0032
sigma_ln_rate_material[Ag50Pd50],5.2,11.0,2.1,0.028,0.015
sigma_ln_rate_material[Ag75Pd25],5.2,11.0,2.1,0.021,0.0099
sigma_ln_rate_material[Ag90Pd10],6.0,26.0,1.8,0.012,0.0043
sigma_ln_rate_material[Pd100],22.0,88.0,1.1,0.0015,0.0011
