observable,n_points,median_abs_residual,median_abs_standardized_residual,posterior_95_hdi_contains_experimental_mean,median_chain_median_range_over_exp_sd,p95_chain_median_range_over_exp_sd,max_chain_median_range_over_exp_sd,material
alpha,477,0.0990814584803335,11.503506963807043,0.033542976939203356,0.05126018932873755,0.25372108421157996,0.5998119043906808,Ag10Pd90
delta_OH,152,0.1986272150005316,2.107228049736221,0.03289473684210526,0.00883041083703589,0.020228571660098234,0.026143850744978114,Ag10Pd90
delta_CO,354,0.336633509693395,15.621920506884491,0.002824858757062147,0.020959265824596982,0.14624569519243094,0.4145201376008313,Ag10Pd90
alpha,490,0.061577223547046325,4.791798093099265,0.05918367346938776,0.0333661571303242,0.2443942027105351,1.6329811038014648,Ag25Pd75
delta_OH,162,0.20976576408050743,1.2142367732512969,0.024691358024691357,0.0038695533420492626,0.010041446553996022,0.012922261003549831,Ag25Pd75
delta_CO,367,0.2181364389338093,8.231269988477997,0.0027247956403269754,0.007374105267371205,0.09514058194390591,0.3748885115632828,Ag25Pd75
alpha,492,0.04662104517563706,2.2371787294603607,0.07926829268292683,0.019837324312953517,0.12145519489695172,0.3860342333638118,Ag50Pd50
delta_OH,164,0.19360822788357657,1.193001325495224,0.10365853658536585,0.005121448189942156,0.009554509216844781,0.010869543974787482,Ag50Pd50
delta_CO,369,0.182841648758272,4.825501128034248,0.037940379403794036,0.006226353375897692,0.06726118511770497,0.38066543156203375,Ag50Pd50
alpha,492,0.02840699228603362,2.767256027652496,0.09552845528455285,0.023807182543200345,0.18466306665983445,0.7264329856904527,Ag75Pd25
delta_OH,164,0.10861072200495969,0.7697304937449287,0.06097560975609756,0.006628623967245092,0.018599414442477667,0.02387447221231365,Ag75Pd25
delta_CO,369,0.19471897709902103,4.86621624287334,0.008130081300813009,0.005764692245416517,0.02469818581227843,0.1466455402290529,Ag75Pd25
alpha,492,0.04620709531404607,4.476435128376044,0.052845528455284556,0.02798841871927384,0.18016412621261677,1.0290749730488369,Ag90Pd10
delta_OH,164,0.1197166895840287,0.4153151966345615,0.10365853658536585,0.0031132596502886083,0.005557502387565234,0.006631107163889111,Ag90Pd10
delta_CO,369,0.23108677410221523,6.22084976552219,0.008130081300813009,0.0061857295015261046,0.06956560176785469,0.1550502335155285,Ag90Pd10
alpha,488,0.648267771222636,33.96191893219725,0.010245901639344262,0.0003946756865029961,0.14944233528789697,0.511589345855845,Pd100
delta_OH,161,0.16964415016621648,1.1618563942043991,0.006211180124223602,7.104374912643797e-05,0.013582973760833752,0.018666524035950337,Pd100
delta_CO,365,0.5911144735542118,18.422892501039033,0.005479452054794521,0.011237823736591188,0.20271661726003185,0.3709476564642764,Pd100
