material,electrolyte_concentration_M,CO_mole_fraction,replicate,n_points,mean_residual,mean_abs_residual,rms_residual,lag1_residual_correlation,residual_slope_per_V
Ag10Pd90,0.25,0.001,A,33,-0.3433641583126833,0.3822281983152513,0.4777530919160328,0.9517574465087799,-0.6670965382086048
Ag10Pd90,0.25,0.001,B,33,-0.16872407268633186,0.303482235547744,0.4198733397971744,0.9502303885430738,-1.0252473026954736
Ag10Pd90,0.25,0.001,C,33,-0.4901180448882948,0.5005802596492834,0.5619470900032136,0.9448535674266489,-0.11052059342345665
Ag10Pd90,0.25,0.01,A,37,-1.4000071752064658,1.4000071752064658,1.436952345690452,0.937558603642623,-0.5990149440841006
Ag10Pd90,0.25,0.01,B,37,-1.3877626298828867,1.3877626298828867,1.4256511319440315,0.9404256110096435,-0.9405766270767899
Ag10Pd90,0.25,0.01,C,37,-1.4992652123531705,1.4992652123531705,1.5331251494878704,0.9372749065224218,0.4609970629474178
Ag10Pd90,0.25,0.1,A,41,-1.1651301739755435,1.1651301739755435,1.2057027782727345,0.9823943083403943,0.2144133531748385
Ag10Pd90,0.25,0.1,B,41,-1.12984233970664,1.12984233970664,1.1718054549157793,0.9823047557419161,-0.006977348302661386
Ag10Pd90,0.25,0.1,C,41,-1.2886536142640581,1.2886536142640581,1.3316519200605472,0.9842442903881266,0.7396852929611677
Ag10Pd90,0.25,1.0,A,41,-0.21573675016963095,0.2963750929467866,0.38893874350385904,0.991457200761314,2.3285087699239777
Ag10Pd90,0.25,1.0,B,41,-0.30431175164121355,0.32589779639284905,0.4274767117776181,0.9903722394108693,2.1285018240901095
Ag10Pd90,0.25,1.0,C,41,-0.3954097074078713,0.3987801577179957,0.5204385847701657,0.9911452197358253,2.4002485366441224
Ag10Pd90,0.5,0.001,A,38,-0.0633712593819965,0.2521233896649572,0.31231573905664206,0.9571501000059762,-0.5800477189389861
Ag10Pd90,0.5,0.001,B,38,-0.10416969242560048,0.2742164233487004,0.3498792278959891,0.9613796854745568,-1.383604504468624
Ag10Pd90,0.5,0.001,C,38,-0.25702645200065727,0.3154305380356247,0.3969066401567143,0.9486468724815541,0.1534973038310824
Ag10Pd90,0.5,0.01,A,41,-1.0537478521854886,1.0650841847223396,1.115517069230379,0.9450990389377381,0.4843283518812144
Ag10Pd90,0.5,0.01,B,41,-1.0138516073514379,1.0252636610483878,1.0736628873178327,0.9445616188033246,0.43163468576226555
Ag10Pd90,0.5,0.01,C,41,-1.1171292501948693,1.131203180784757,1.1861402498784699,0.9535865740736971,1.2933365756149313
Ag10Pd90,0.5,0.1,A,41,-0.9156165487518266,0.9156165487518266,0.9463270885993558,0.96787463440266,-0.36796111133328274
Ag10Pd90,0.5,0.1,B,41,-0.8414770355144738,0.8414770355144738,0.8740143641863002,0.9684986867454777,-0.5032833590112203
Ag10Pd90,0.5,0.1,C,41,-0.9580568044498153,0.9580568044498153,0.988225536764409,0.9677780735803213,0.10811408515565979
Ag10Pd90,0.5,1.0,A,41,-0.04051191091052936,0.19228841009599135,0.22379097686740676,0.9793833257565472,1.2619408098978515
Ag10Pd90,0.5,1.0,B,41,-0.009301005574850836,0.18921012408957572,0.21875431736241918,0.9781291735353815,1.2013790551403922
Ag10Pd90,0.5,1.0,C,41,-0.09206755272648937,0.24013856825413996,0.288428264070486,0.9871046071106511,1.8341387332147032
Ag10Pd90,1.0,0.001,A,41,-0.1481799878738612,0.3054274987744537,0.3950809709782848,0.9817042567426814,2.1503885756446546
