material,electrolyte_concentration_M,CO_mole_fraction,n_potentials,n_replicates,shared_rms,replicate_specific_rms,shared_fraction_squared_residual,replicate_fraction_squared_residual
Ag10Pd90,0.25,0.001,33,3,0.46722895594994057,0.14766795910265282,0.9091835322156473,0.0908164677843528
Ag10Pd90,0.25,0.01,37,3,1.4636329520347489,0.08390801102980859,0.9967241990949706,0.003275800905029483
Ag10Pd90,0.25,0.1,41,3,1.2358325312076632,0.07809804592623702,0.9960223170983388,0.003977682901661339
Ag10Pd90,0.25,1.0,41,3,0.4426521948465451,0.07537264981575909,0.9718233313551605,0.02817666864483971
Ag10Pd90,0.5,0.001,38,3,0.33661274166143024,0.11190332498725132,0.900482355707583,0.099517644292417
Ag10Pd90,0.5,0.01,41,3,1.1240238930845543,0.06774925105338794,0.9963802130872658,0.0036197869127338558
Ag10Pd90,0.5,0.1,41,3,0.9354716702493554,0.05973285365375527,0.9959393259723008,0.0040606740276988565
Ag10Pd90,0.5,1.0,41,3,0.24093844294740902,0.04821035966440743,0.9615036562085176,0.038496343791482084
Ag10Pd90,1.0,0.001,41,3,0.44859860156560105,0.08195659043999155,0.9677007086889541,0.03229929131104576
Ag10Pd90,1.0,0.01,41,3,1.2048936653565854,0.08553196224906075,0.9949860911004137,0.005013908899586604
Ag10Pd90,1.0,0.1,41,3,0.8750640819314507,0.07957245070077144,0.9917989511987242,0.0082010488012758
Ag10Pd90,1.0,1.0,41,3,0.309999301079988,0.09375124632998914,0.9162037231704679,0.08379627682953202
Ag25Pd75,0.25,0.001,39,3,0.9044814256956547,0.6648230164192496,0.6492358075775082,0.35076419242249146
Ag25Pd75,0.25,0.01,41,3,0.32047849802300726,0.29841150609964284,0.5356104847417843,0.4643895152582157
Ag25Pd75,0.25,0.1,41,3,0.30552103360955674,0.1392921617493803,0.8279104522578017,0.17208954774219837
Ag25Pd75,0.25,1.0,41,3,0.659942969094704,0.15000911275732182,0.9508703384537491,0.04912966154625096
Ag25Pd75,0.5,0.001,41,3,1.163718070529406,0.08157359431339811,0.995110382370513,0.00488961762948713
Ag25Pd75,0.5,0.01,41,3,0.4555598639953221,0.07657803096116446,0.9725200434323865,0.02747995656761337
Ag25Pd75,0.5,0.1,41,3,0.5584941103255222,0.12592109704451274,0.9516245053003203,0.04837549469967983
Ag25Pd75,0.5,1.0,41,3,1.0628169642588003,0.13668943745403883,0.9837284771542842,0.016271522845715702
Ag25Pd75,1.0,0.001,41,3,1.0401059397040633,0.11401669638103278,0.9881260800852166,0.011873919914783414
Ag25Pd75,1.0,0.01,41,3,0.47152052781536336,0.1274288548160008,0.931935566011257,0.06806443398874308
Ag25Pd75,1.0,0.1,41,3,0.49964455104959626,0.13143045600731082,0.9352837830040163,0.06471621699598366
Ag25Pd75,1.0,1.0,41,3,1.0453486132435477,0.1584836237154444,0.9775313395912957,0.022468660408704117
Ag50Pd50,0.25,0.001,41,3,0.6512071916679626,0.12373342767671754,0.965155595662295,0.03484440433770496
Ag50Pd50,0.25,0.01,41,3,0.26620004473664916,0.08690574720392798,0.9036842199389925,0.09631578006100736
Ag50Pd50,0.25,0.1,41,3,0.28967414113537154,0.15383797725104134,0.7800080652614246,0.21999193473857562
Ag50Pd50,0.25,1.0,41,3,0.271913227595139,0.21766665947439995,0.6094584435689676,0.3905415564310325
Ag50Pd50,0.5,0.001,41,3,0.5253314736037876,0.2162673097140784,0.8550819011990447,0.1449180988009554
Ag50Pd50,0.5,0.01,41,3,0.20123601913008676,0.22917583991292073,0.4353582386335058,0.5646417613664941
Ag50Pd50,0.5,0.1,41,3,0.09101958469496549,0.24413401356427342,0.1220364592216879,0.877963540778312
Ag50Pd50,0.5,1.0,41,3,0.46680607171967925,0.2650062871799696,0.7562669241454862,0.24373307585451398
Ag50Pd50,1.0,0.001,41,3,0.7514295767727457,0.2351670338871174,0.9107935495750895,0.08920645042491071
Ag50Pd50,1.0,0.01,41,3,0.23131364134719531,0.13388255074801578,0.7490633854989616,0.2509366145010382
Ag50Pd50,1.0,0.1,41,3,0.13763641034989801,0.09494873013667672,0.677554721157938,0.3224452788420621
Ag50Pd50,1.0,1.0,41,3,0.6144063188800483,0.06415055442660866,0.9892159819654969,0.010784018034502862
Ag75Pd25,0.25,0.001,41,3,0.2589174524765276,0.19877838834533543,0.6291652589648282,0.3708347410351716
