,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,2100.0,2600.0,1.0,1.2e-05,8.4e-06
deltaG4_0,1900.0,2300.0,1.0,2.5e-05,1.9e-05
deltaG5_0,680.0,1000.0,1.0,6.9e-05,5e-05
beta_2,890.0,840.0,1.0,0.00013,0.00012
q,870.0,1400.0,1.0,0.00018,0.00013
Gact2_BF_0,720.0,1100.0,1.0,3.9e-05,2.8e-05
Gact2_LH_0,1800.0,2300.0,1.0,2.4e-05,1.6e-05
sigma_ln_rate_material[Ag10Pd90],3200.0,3000.0,1.0,0.00036,0.00024
sigma_ln_rate_material[Ag25Pd75],4800.0,3100.0,1.0,0.00024,0.00018
sigma_ln_rate_material[Ag50Pd50],5300.0,3200.0,1.0,0.00014,9.6e-05
sigma_ln_rate_material[Ag75Pd25],5600.0,3100.0,1.0,9.4e-05,6.7e-05
sigma_ln_rate_material[Ag90Pd10],4300.0,3300.0,1.0,0.00018,0.00013
sigma_ln_rate_material[Pd100],3600.0,3100.0,1.0,0.0015,0.001
