observable,n_points,median_abs_residual,median_abs_standardized_residual,posterior_95_hdi_contains_experimental_mean,median_chain_median_range_over_exp_sd,p95_chain_median_range_over_exp_sd,max_chain_median_range_over_exp_sd,material
alpha,477,0.07533851701802252,6.9402995291923935,0.020964360587002098,0.025557012788446184,0.1629568900826676,1.0066590556788,Ag10Pd90
delta_OH,152,0.1365289263961731,1.4810267967210775,0.02631578947368421,0.008398602015392536,0.018268739915992708,0.029605031846917956,Ag10Pd90
delta_CO,354,0.27622099570180547,15.401754848922781,0.00847457627118644,0.012682657665785427,0.0919847304460398,0.5014773548605175,Ag10Pd90
alpha,490,0.0389278149507328,2.99565554402382,0.06938775510204082,0.03213572546185441,0.1497570255260181,2.7719489884354562,Ag25Pd75
delta_OH,162,0.20016101786873952,1.0102643836927303,0.0,0.003270533440315142,0.01175890842614351,0.013411268447116577,Ag25Pd75
delta_CO,367,0.20765142627549998,5.799096384550584,0.01634877384196185,0.005783675803293498,0.08209369423707434,0.48049935940372357,Ag25Pd75
alpha,492,0.033506768946656315,1.9247035685881762,0.1016260162601626,0.02060576985449003,0.11362266063602781,2.055976941330629,Ag50Pd50
delta_OH,164,0.18746537801322072,1.1170926609444578,0.024390243902439025,0.0055422835273704636,0.010166925799786751,0.018344727671690604,Ag50Pd50
delta_CO,369,0.17563517773633225,4.610724593486649,0.02981029810298103,0.00830295385555454,0.08515579964553636,0.34603722675082854,Ag50Pd50
alpha,492,0.029737365316253116,2.5511325807806102,0.13617886178861788,0.028898831796325616,0.3016635392596001,1.0042209551928367,Ag75Pd25
delta_OH,164,0.06911358981412713,0.5167711056849782,0.13414634146341464,0.0070206368098138265,0.018915396965211807,0.023028189929476094,Ag75Pd25
delta_CO,369,0.19217588368529015,5.877737283089038,0.04336043360433604,0.010475730416932082,0.0362335614601154,0.21134395223746816,Ag75Pd25
alpha,492,0.047205960569881036,4.429035892992558,0.09552845528455285,0.039330722513661515,0.22336057751647675,1.5013197854343399,Ag90Pd10
delta_OH,164,0.09833563341072732,0.32677480608549875,0.042682926829268296,0.003230253899049339,0.0073631112004503,0.00817881058428614,Ag90Pd10
delta_CO,369,0.21807467731078095,6.4257428748743575,0.0027100271002710027,0.00865065404769067,0.11113645058048743,0.17681249260702198,Ag90Pd10
alpha,488,0.043518654484632324,2.0821428574178,0.06352459016393443,0.013884304416017939,0.16449637316978252,1.3868707218873335,Pd100
delta_OH,161,0.10000471600834882,0.8167715706892278,0.012422360248447204,0.00026899026006259953,0.01573043914903281,0.03722227790597007,Pd100
delta_CO,365,0.18289322370274638,4.942965972698306,0.00821917808219178,0.0077198723566560806,0.08018849046219145,0.3750049614250352,Pd100
