prior_profile_material,parameter,prior_mean,prior_sd,prior_q025,prior_q50,prior_q975,lower,upper,posterior_mean,posterior_sd,posterior_median,posterior_hdi95_lower,posterior_hdi95_upper,sd_ratio_posterior_over_prior,interval95_width_ratio_posterior_hdi_over_prior_central
Ag10Pd90,deltaG1_0,-0.25544204955095384,0.1002629099117318,-0.3940176679802982,-0.27217761782574545,-0.036790071351169185,-0.4,0.0,-0.13569390378009852,0.0007537522340507736,-0.13569119682880373,-0.13718482077388472,-0.13425090708442883,0.007517757411133912,0.008213009625070648
Ag10Pd90,deltaG4_0,0.0,0.2,-0.3919927969080109,0.0,0.3919927969080108,,,0.1198543054807119,0.001724491000566977,0.11980632574801184,0.11658716047329676,0.12325801841115026,0.008622455002834884,0.008508903722813762
Ag10Pd90,deltaG5_0,0.0,0.2,-0.3919927969080109,0.0,0.3919927969080108,,,-0.007331989394069467,0.0017301639470295037,-0.007368009361738561,-0.010319745918320578,-0.0035761762569702835,0.008650819735147518,0.008601649972324377
Ag10Pd90,beta_2_BF,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.001508391583313405,0.0014906595987707646,0.001057192290445569,3.040838674583624e-08,0.004349098952805884,0.005163796323722402,0.0045779668888622504
Ag10Pd90,beta_2_ER,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.3090897419602172,0.0028330603426476838,0.3091070768534915,0.3036732846868034,0.314751964733333,0.00981400890874856,0.01166176847003118
Ag10Pd90,q,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.3552899320597813,0.004719524175847462,0.35542952362208535,0.34546304564698077,0.3640191655131683,0.01634891132023487,0.019532757753881632
Ag10Pd90,Gact1_0,0.6724222068303695,0.17543958829484219,0.3029438897691983,0.6832928186785808,0.9679895017160765,0.0,1.0,0.6044630310757511,0.0008063849770076361,0.6044541213945301,0.6030549383039882,0.6062253529870189,0.0045963683843833055,0.004767213896426612
Ag10Pd90,Gact2_BF_0,0.7290374894305053,0.12894727700225228,0.5154115821656639,0.7230739771256242,0.9729438672906496,0.5,1.0,0.6901386576180558,0.0010372259058868548,0.690157683840344,0.6880837460194134,0.6920557093975546,0.008043798442279149,0.008681274540125997
Ag10Pd90,Gact2_ER_0,0.7290374894305053,0.12894727700225228,0.5154115821656639,0.7230739771256242,0.9729438672906496,0.5,1.0,0.7679707270840358,0.0003899718951245871,0.7679722989983443,0.7672141713288579,0.7687257565299828,0.0030242739838374066,0.003303778225643455
Ag10Pd90,Gact2_LH_0,0.7290374894305053,0.12894727700225228,0.5154115821656639,0.7230739771256242,0.9729438672906496,0.5,1.0,0.6947287444721475,0.0019719654262361813,0.6946701249182528,0.6909184744600567,0.6986755764682793,0.015292803943442231,0.016954217790562064
