parameter,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,2777.123643567982,2870.401396572168,1.0001797311937626,1.4339232373363842e-05,9.919802028869077e-06
deltaG4_0,2570.722666422091,2870.6989522767785,1.001051050221907,3.4001760097254054e-05,2.3090833485340124e-05
deltaG5_0,702.656603456294,936.581008968851,1.0021807165812358,6.540985764063139e-05,4.5287750075934844e-05
beta_2_BF,3461.299536083536,2221.950665062767,1.0012101588864637,2.3347864641538264e-05,3.5569643539866834e-05
beta_2_ER,3458.3812580271456,3242.4972142358,1.0009806021721932,4.816967893224534e-05,3.3318557037320914e-05
q,949.0605120982187,1405.3598097594772,1.0012839718446984,0.0001532081943091538,0.00010825789554432616
Gact1_0,2184.9930845686836,2475.7902196636664,1.001120016715688,1.724511845416921e-05,1.2149280359504982e-05
Gact2_BF_0,737.1059103686722,966.4480182851921,1.0019718661907635,3.8323970679009236e-05,2.736157023552529e-05
Gact2_ER_0,2959.7688691703606,3279.8078158668886,1.0007549931549968,7.178021711821558e-06,5.146746408757252e-06
Gact2_LH_0,3783.3694657841943,3420.425973342163,1.0002366611839224,3.199850775835989e-05,2.2727584039067394e-05
