material,electrolyte_concentration_M,CO_mole_fraction,n_potentials,n_replicates,shared_rms,replicate_specific_rms,shared_fraction_squared_residual,replicate_fraction_squared_residual
Ag10Pd90,0.25,0.001,33,3,0.7955438535455688,0.14766795910265282,0.9666931962729532,0.03330680372704657
Ag10Pd90,0.25,0.01,37,3,1.5376809756766672,0.08390801102980859,0.9970311851540242,0.002968814845976418
Ag10Pd90,0.25,0.1,41,3,1.2223266034354632,0.07809804592623702,0.9959342891190406,0.004065710880959348
Ag10Pd90,0.25,1.0,41,3,0.5477636326757573,0.07537264981575909,0.9814178849182805,0.01858211508171993
Ag10Pd90,0.5,0.001,38,3,0.6760436875236173,0.11190332498725132,0.9733315808299511,0.02666841917004898
Ag10Pd90,0.5,0.01,41,3,1.2941988481774478,0.06774925105338794,0.9972671330692362,0.002732866930764083
Ag10Pd90,0.5,0.1,41,3,0.9657759118421989,0.05973285365375527,0.9961892047166926,0.0038107952833072384
Ag10Pd90,0.5,1.0,41,3,0.3038301270109896,0.04821035966440743,0.9754404815152654,0.024559518484734567
Ag10Pd90,1.0,0.001,41,3,0.9701895135693918,0.08195659043999154,0.9929145653906278,0.007085434609372514
Ag10Pd90,1.0,0.01,41,3,1.4465287860179983,0.08553196224906075,0.9965159293313022,0.0034840706686979426
Ag10Pd90,1.0,0.1,41,3,1.01359511288543,0.07957245070077144,0.9938746898633233,0.006125310136676661
Ag10Pd90,1.0,1.0,41,3,0.24862910643364136,0.09375124632998914,0.8755158208337817,0.12448417916621847
Ag25Pd75,0.25,0.001,39,3,0.5378163010442631,0.6648230164192497,0.395558160445874,0.604441839554126
Ag25Pd75,0.25,0.01,41,3,0.19495313879281076,0.29841150609964284,0.2991332992435183,0.7008667007564818
Ag25Pd75,0.25,0.1,41,3,0.1929560881212827,0.1392921617493803,0.6574110324859425,0.34258896751405765
Ag25Pd75,0.25,1.0,41,3,0.6594893405570376,0.15000911275732182,0.9508060537521119,0.049193946247888184
Ag25Pd75,0.5,0.001,41,3,0.8847821858977573,0.08157359431339813,0.991571496114539,0.00842850388546085
Ag25Pd75,0.5,0.01,41,3,0.36728344597399093,0.07657803096116446,0.9583394455387377,0.041660554461262524
Ag25Pd75,0.5,0.1,41,3,0.55522425005946,0.12592109704451274,0.951080991416987,0.04891900858301288
Ag25Pd75,0.5,1.0,41,3,1.0231096692613808,0.13668943745403883,0.9824635381180031,0.0175364618819968
Ag25Pd75,1.0,0.001,41,3,0.7776689612214672,0.11401669638103278,0.9789568417400671,0.021043158259933383
Ag25Pd75,1.0,0.01,41,3,0.36305964580464584,0.1274288548160008,0.8903203847724623,0.10967961522753751
Ag25Pd75,1.0,0.1,41,3,0.4498885216010111,0.13143045600731082,0.9213653297474497,0.07863467025255047
Ag25Pd75,1.0,1.0,41,3,0.9450654187614693,0.1584836237154444,0.9726472862301803,0.02735271376981988
Ag50Pd50,0.25,0.001,41,3,0.29419568930115875,0.12373342767671754,0.8496976134550555,0.15030238654494452
Ag50Pd50,0.25,0.01,41,3,0.265879613575212,0.08690574720392798,0.9034743478938301,0.0965256521061698
Ag50Pd50,0.25,0.1,41,3,0.2560876114879003,0.15383797725104134,0.7348244038881171,0.2651755961118827
Ag50Pd50,0.25,1.0,41,3,0.39044218853718043,0.21766665947439995,0.7628973308796226,0.2371026691203776
Ag50Pd50,0.5,0.001,41,3,0.30266841687422036,0.21626730971407843,0.6620057526463105,0.33799424735368916
Ag50Pd50,0.5,0.01,41,3,0.20513250571311767,0.22917583991292073,0.44480908986781054,0.5551909101321896
Ag50Pd50,0.5,0.1,41,3,0.1025549538116183,0.24413401356427342,0.1499954118207609,0.8500045881792394
Ag50Pd50,0.5,1.0,41,3,0.5238311273171005,0.2650062871799696,0.796219523247441,0.20378047675255892
Ag50Pd50,1.0,0.001,41,3,0.5397965730455192,0.2351670338871174,0.840478493639194,0.15952150636080575
Ag50Pd50,1.0,0.01,41,3,0.0600092746404648,0.1338825507480158,0.1672940408143396,0.8327059591856604
Ag50Pd50,1.0,0.1,41,3,0.1956492147432879,0.09494873013667672,0.8093778305842436,0.19062216941575627
Ag50Pd50,1.0,1.0,41,3,0.6241592062977854,0.06415055442660868,0.9895468679798274,0.010453132020172819
Ag75Pd25,0.25,0.001,41,3,0.20614809476077947,0.19877838834533545,0.5181940830254026,0.4818059169745976
Ag75Pd25,0.25,0.01,41,3,0.5508456360879749,0.07946653168536257,0.9796125443774512,0.020387455622549074
Ag75Pd25,0.25,0.1,41,3,0.33627594851912535,0.05049170466658991,0.9779521592284803,0.022047840771519875
Ag75Pd25,0.25,1.0,41,3,0.2708053456263625,0.06879679296298571,0.9393737978284565,0.06062620217154367
Ag75Pd25,0.5,0.001,41,3,0.28437604659543,0.10536125293567397,0.8792986238030621,0.12070137619693803
Ag75Pd25,0.5,0.01,41,3,0.2835780323625118,0.0440272397107978,0.976462871339165,0.023537128660834572
Ag75Pd25,0.5,0.1,41,3,0.13501969527926452,0.06758296316603797,0.7996533913694488,0.20034660863055112
Ag75Pd25,0.5,1.0,41,3,0.464941339327879,0.10061744002910769,0.9552623799124856,0.044737620087514286
Ag75Pd25,1.0,0.001,41,3,0.14876678300771545,0.2146281094505012,0.3245249317025892,0.675475068297411
Ag75Pd25,1.0,0.01,41,3,0.4796348537250823,0.1790791320196441,0.8776534921890159,0.12234650781098398
Ag75Pd25,1.0,0.1,41,3,0.25951331011607615,0.07592886994423569,0.921146110347138,0.07885388965286169
Ag75Pd25,1.0,1.0,41,3,0.31403969384739705,0.09988469308154137,0.9081294054767359,0.09187059452326424
