,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,2800.0,2900.0,1.0,1.4e-05,9.9e-06
deltaG4_0,2600.0,2900.0,1.0,3.4e-05,2.3e-05
deltaG5_0,700.0,940.0,1.0,6.5e-05,4.5e-05
beta_2_BF,3500.0,2200.0,1.0,2.3e-05,3.6e-05
beta_2_ER,3500.0,3200.0,1.0,4.8e-05,3.3e-05
q,950.0,1400.0,1.0,0.00015,0.00011
Gact1_0,2200.0,2500.0,1.0,1.7e-05,1.2e-05
Gact2_BF_0,740.0,970.0,1.0,3.8e-05,2.7e-05
Gact2_ER_0,3000.0,3300.0,1.0,7.2e-06,5.1e-06
Gact2_LH_0,3800.0,3400.0,1.0,3.2e-05,2.3e-05
sigma_ln_rate_material[Ag10Pd90],7000.0,2700.0,1.0,0.00023,0.00017
sigma_ln_rate_material[Ag25Pd75],6600.0,2900.0,1.0,0.00017,0.00012
sigma_ln_rate_material[Ag50Pd50],6200.0,3500.0,1.0,0.0001,7.3e-05
sigma_ln_rate_material[Ag75Pd25],8000.0,3100.0,1.0,7.9e-05,5.6e-05
sigma_ln_rate_material[Ag90Pd10],5900.0,3400.0,1.0,0.00017,0.00012
sigma_ln_rate_material[Pd100],6500.0,3400.0,1.0,9.3e-05,6.5e-05
