observable,n_points,median_abs_residual,median_abs_standardized_residual,posterior_95_hdi_contains_experimental_mean,median_chain_median_range_over_exp_sd,p95_chain_median_range_over_exp_sd,max_chain_median_range_over_exp_sd,material
alpha,477,0.09961490226150721,11.587070919256087,0.031446540880503145,0.03239920434956305,0.15959302922330273,0.5440705231115369,Ag10Pd90
delta_OH,152,0.20104338615208628,2.1110792355221712,0.039473684210526314,0.006399187259875196,0.013104759169556496,0.020346136748770283,Ag10Pd90
delta_CO,354,0.3377559373355776,15.695269478488397,0.002824858757062147,0.010570602808180452,0.06702339998430593,0.2572216434155901,Ag10Pd90
alpha,490,0.06130560531085437,4.8073396538955,0.05510204081632653,0.023088045160327704,0.18563246103717598,1.3108935099933225,Ag25Pd75
delta_OH,162,0.2113546749124866,1.222121574221207,0.018518518518518517,0.002839442750592702,0.006594001843102163,0.007852957013495681,Ag25Pd75
delta_CO,367,0.2188307282188079,8.324747842793638,0.0027247956403269754,0.004132854346460922,0.05002329706100264,0.27823063432829037,Ag25Pd75
alpha,492,0.04649844293931418,2.2242490526069156,0.08739837398373984,0.014748006110616888,0.10436750992381039,0.26638987552598287,Ag50Pd50
delta_OH,164,0.19360704637477133,1.2110147814105643,0.0975609756097561,0.003639520891301717,0.0068532380159316095,0.008401143976904194,Ag50Pd50
delta_CO,369,0.1825640362186203,4.819062350674827,0.02981029810298103,0.003732707245434157,0.04212132827657651,0.5708665324210397,Ag50Pd50
alpha,492,0.028556362510900178,2.7655448113664445,0.09552845528455285,0.01847208051293077,0.15161032104528233,0.5695324614042105,Ag75Pd25
delta_OH,164,0.10746854153096946,0.7691323462699284,0.06097560975609756,0.004396995176950851,0.012587892105825593,0.014777127086247214,Ag75Pd25
delta_CO,369,0.19444583585302505,4.882173108465668,0.008130081300813009,0.0037383377260460145,0.018468110904236196,0.10872219642091827,Ag75Pd25
alpha,492,0.04600397277456651,4.583713550968696,0.052845528455284556,0.02568295840345139,0.0980375146477321,0.3982854404750289,Ag90Pd10
delta_OH,164,0.11672176456845251,0.4050133406888211,0.0975609756097561,0.0023671420783445947,0.005948139258602981,0.006710515152641501,Ag90Pd10
delta_CO,369,0.23210776329641802,6.2159334826384125,0.008130081300813009,0.004101501096702999,0.04305783783677798,0.09431601172674679,Ag90Pd10
alpha,488,0.648266857712379,33.950873211525405,0.010245901639344262,0.00024453827385132213,0.08468768737107481,0.36608435610595264,Pd100
delta_OH,161,0.16964414475819578,1.1618219694989624,0.012422360248447204,3.9187585095916015e-05,0.00934994032746582,0.011226153934727335,Pd100
delta_CO,365,0.5886596613265247,18.412643503532752,0.005479452054794521,0.007714117973067312,0.11200494818538739,0.25123618896253047,Pd100
