variable,index,mean,sd,median,hdi95_lower,hdi95_upper
sigma_ln_rate_material,"(0,)",0.8677042019502678,0.02008894610600698,0.8673132213721668,0.8291107364234369,0.9066465720256721
sigma_ln_rate_material,"(1,)",0.7942399678454333,0.016177214872962645,0.7937751464710311,0.7645310448119638,0.8276387855861114
sigma_ln_rate_material,"(2,)",0.44609379876087246,0.00948398518103554,0.44570762672678754,0.4283258474051667,0.465671005086907
sigma_ln_rate_material,"(3,)",0.3618718311874695,0.00697203522519118,0.36165562876590096,0.34897691378787526,0.37619182093801196
sigma_ln_rate_material,"(4,)",0.5284027568061288,0.011767930250773275,0.5281976787171949,0.5043380455394056,0.5510625722081797
sigma_ln_rate_material,"(5,)",4.022415068245804,0.0855492068558814,4.020022690892725,3.8622956879032224,4.194923851616215
sigma_ln_rate_setup_material,"(0,)",0.06220235153711509,0.03035586442921256,0.05686807038613478,0.01378051861826212,0.12287340763121742
sigma_ln_rate_setup_material,"(1,)",0.13998519796847275,0.04608077405183745,0.13182379078072964,0.06980108523985427,0.23097735633054436
sigma_ln_rate_setup_material,"(2,)",0.15160989475626938,0.045611017771825114,0.14321131706337256,0.08194487423463012,0.2402447165357995
sigma_ln_rate_setup_material,"(3,)",0.09553501877927528,0.03252591831804565,0.08926070717619775,0.04784144685986172,0.1608080935570646
sigma_ln_rate_setup_material,"(4,)",0.20349111477353188,0.05972618827326942,0.19152308017818345,0.10969576198024912,0.3251157932640679
sigma_ln_rate_setup_material,"(5,)",0.08578625937007803,0.05281108383289892,0.07389494516221992,0.012930915882442646,0.1914640139453886
