material,electrolyte_concentration_M,CO_mole_fraction,n_potentials,n_replicates,shared_rms,replicate_specific_rms,shared_fraction_squared_residual,replicate_fraction_squared_residual
Ag10Pd90,0.25,0.001,33,3,0.4694623929767844,0.12255489058273553,0.9361989499478172,0.06380105005218316
Ag10Pd90,0.25,0.01,37,3,1.466989448845123,0.07019644782540829,0.9977155427819508,0.002284457218049065
Ag10Pd90,0.25,0.1,41,3,1.2403720764972535,0.05257227968486714,0.9982067940166196,0.0017932059833804426
Ag10Pd90,0.25,1.0,41,3,0.4437597825436342,0.054593802269614286,0.9850903695837333,0.014909630416266847
Ag10Pd90,0.5,0.001,38,3,0.33873568710283414,0.09798164482705754,0.9227905132867609,0.0772094867132391
Ag10Pd90,0.5,0.01,41,3,1.1256168514511646,0.05688410615162867,0.997452624419679,0.0025473755803212626
Ag10Pd90,0.5,0.1,41,3,0.9393844486403229,0.046410753802458696,0.9975650405506643,0.002434959449335736
Ag10Pd90,0.5,1.0,41,3,0.24203122764301638,0.0364670139813019,0.9778022661840942,0.02219773381590591
Ag10Pd90,1.0,0.001,41,3,0.4455171524182695,0.04786296011737488,0.9885899787212735,0.011410021278726375
Ag10Pd90,1.0,0.01,41,3,1.204457402060751,0.04926009926227177,0.9983301331039539,0.001669866896046063
Ag10Pd90,1.0,0.1,41,3,0.877290500784925,0.04398805005250599,0.9974922047367117,0.0025077952632881232
Ag10Pd90,1.0,1.0,41,3,0.3114585133685468,0.056926554492815584,0.9676735326446742,0.03232646735532592
Ag25Pd75,0.25,0.001,39,3,0.9072160218284622,0.4966790766491866,0.7693905275067229,0.2306094724932772
Ag25Pd75,0.25,0.01,41,3,0.32322716012096875,0.1778121195405873,0.7676797322948639,0.23232026770513586
Ag25Pd75,0.25,0.1,41,3,0.30716943135107266,0.20906572781305002,0.6834130696592922,0.3165869303407076
Ag25Pd75,0.25,1.0,41,3,0.6587996949141214,0.28716410050973334,0.8403361614660223,0.15966383853397736
Ag25Pd75,0.5,0.001,41,3,1.1665754587425041,0.10819074924208093,0.9914722366017571,0.008527763398242738
