,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,5000.0,3100.0,1.0,7.4e-06,5.2e-06
deltaG4_0,3400.0,3300.0,1.0,1.8e-05,1.3e-05
deltaG5_0,1600.0,2100.0,1.0,4.3e-05,3e-05
beta_2,2500.0,1800.0,1.0,7.9e-05,8.4e-05
q,1900.0,2300.0,1.0,0.00012,8.9e-05
Gact2_BF_0,1700.0,2100.0,1.0,2.4e-05,1.6e-05
Gact2_LH_0,4000.0,3200.0,1.0,1.6e-05,1.1e-05
sigma_ln_rate_material[Ag10Pd90],5500.0,3800.0,1.0,0.00027,0.00019
sigma_ln_rate_material[Ag25Pd75],6400.0,3500.0,1.0,0.0002,0.00015
sigma_ln_rate_material[Ag50Pd50],6400.0,3400.0,1.0,0.00012,8.2e-05
sigma_ln_rate_material[Ag75Pd25],6500.0,2800.0,1.0,8.8e-05,6.3e-05
sigma_ln_rate_material[Ag90Pd10],5200.0,3300.0,1.0,0.00016,0.00012
sigma_ln_rate_material[Pd100],5500.0,3500.0,1.0,0.0012,0.00079
sigma_ln_rate_setup_material[Ag10Pd90],2300.0,2700.0,1.0,0.00063,0.00069
sigma_ln_rate_setup_material[Ag25Pd75],1900.0,2100.0,1.0,0.001,0.0014
sigma_ln_rate_setup_material[Ag50Pd50],1800.0,2200.0,1.0,0.0011,0.0015
sigma_ln_rate_setup_material[Ag75Pd25],2000.0,2200.0,1.0,0.00075,0.0011
sigma_ln_rate_setup_material[Ag90Pd10],1300.0,1700.0,1.0,0.0016,0.0018
sigma_ln_rate_setup_material[Pd100],5600.0,2800.0,1.0,0.00076,0.00092
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=A],6200.0,3300.0,1.0,0.01,0.0074
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=B],5500.0,3000.0,1.0,0.011,0.008
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=C],7500.0,3400.0,1.0,0.0095,0.0071
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=A],6400.0,3200.0,1.0,0.01,0.0075
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=B],6500.0,3200.0,1.0,0.01,0.0074
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=C],5800.0,3100.0,1.0,0.011,0.0079
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=A],6200.0,3500.0,1.0,0.01,0.0074
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=B],5700.0,3300.0,1.0,0.011,0.008
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=C],6200.0,3500.0,1.0,0.01,0.0074
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=0.25 | replicate=A],4500.0,3300.0,1.0,0.01,0.0075
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=0.25 | replicate=B],4800.0,3300.0,1.0,0.0098,0.0073
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=0.25 | replicate=C],4200.0,3200.0,1.0,0.012,0.0081
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=0.5 | replicate=A],5000.0,3300.0,1.0,0.0094,0.0067
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=0.5 | replicate=B],4700.0,3300.0,1.0,0.0097,0.007
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=0.5 | replicate=C],5100.0,3000.0,1.0,0.0095,0.0067
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=1.0 | replicate=A],4500.0,3400.0,1.0,0.01,0.0071
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=1.0 | replicate=B],4800.0,3600.0,1.0,0.0095,0.0069
z_ln_rate_setup[material=Ag25Pd75 | electrolyte_concentration_M=1.0 | replicate=C],4200.0,3500.0,1.0,0.011,0.0075
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=0.25 | replicate=A],3200.0,2900.0,1.0,0.01,0.0074
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=0.25 | replicate=B],3000.0,2700.0,1.0,0.011,0.0076
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=0.25 | replicate=C],3000.0,2500.0,1.0,0.011,0.008
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=0.5 | replicate=A],3200.0,3000.0,1.0,0.011,0.0081
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=0.5 | replicate=B],3000.0,2700.0,1.0,0.012,0.0086
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=0.5 | replicate=C],2600.0,2400.0,1.0,0.015,0.01
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=1.0 | replicate=A],2800.0,2700.0,1.0,0.011,0.008
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=1.0 | replicate=B],2800.0,2500.0,1.0,0.011,0.0078
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=1.0 | replicate=C],2900.0,2200.0,1.0,0.012,0.0083
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=0.25 | replicate=A],3400.0,3000.0,1.0,0.011,0.0078
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=0.25 | replicate=B],3700.0,2900.0,1.0,0.01,0.0072
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=0.25 | replicate=C],3500.0,3000.0,1.0,0.011,0.0077
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=0.5 | replicate=A],3700.0,2800.0,1.0,0.01,0.0071
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=0.5 | replicate=B],3800.0,3200.0,1.0,0.01,0.0072
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=0.5 | replicate=C],3800.0,3100.0,1.0,0.01,0.0074
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=1.0 | replicate=A],3300.0,2700.0,1.0,0.011,0.0082
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=1.0 | replicate=B],3200.0,3100.0,1.0,0.012,0.0086
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=1.0 | replicate=C],3200.0,3000.0,1.0,0.013,0.0094
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=0.25 | replicate=A],2700.0,2700.0,1.0,0.012,0.0085
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=0.25 | replicate=B],2600.0,2700.0,1.0,0.013,0.0094
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=0.25 | replicate=C],2300.0,2500.0,1.0,0.016,0.011
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=0.5 | replicate=A],2600.0,2400.0,1.0,0.012,0.0087
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=0.5 | replicate=B],2600.0,2500.0,1.0,0.012,0.0086
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=0.5 | replicate=C],2600.0,2700.0,1.0,0.012,0.0084
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=1.0 | replicate=A],2800.0,2600.0,1.0,0.012,0.0081
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=1.0 | replicate=B],2800.0,2600.0,1.0,0.012,0.0082
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=1.0 | replicate=C],2600.0,2200.0,1.0,0.013,0.009
z_ln_rate_setup[material=Pd100 | electrolyte_concentration_M=0.25 | replicate=A],6600.0,2700.0,1.0,0.011,0.008
z_ln_rate_setup[material=Pd100 | electrolyte_concentration_M=0.25 | replicate=B],7300.0,2600.0,1.0,0.012,0.008
z_ln_rate_setup[material=Pd100 | electrolyte_concentration_M=0.25 | replicate=C],7100.0,2800.0,1.0,0.011,0.0084
z_ln_rate_setup[material=Pd100 | electrolyte_concentration_M=0.5 | replicate=A],7100.0,3000.0,1.0,0.011,0.0076
z_ln_rate_setup[material=Pd100 | electrolyte_concentration_M=0.5 | replicate=B],6800.0,2800.0,1.0,0.011,0.0083
z_ln_rate_setup[material=Pd100 | electrolyte_concentration_M=0.5 | replicate=C],7300.0,2900.0,1.0,0.011,0.0078
z_ln_rate_setup[material=Pd100 | electrolyte_concentration_M=1.0 | replicate=A],7300.0,3100.0,1.0,0.011,0.0084
z_ln_rate_setup[material=Pd100 | electrolyte_concentration_M=1.0 | replicate=B],7100.0,2600.0,1.0,0.011,0.0081
z_ln_rate_setup[material=Pd100 | electrolyte_concentration_M=1.0 | replicate=C],6800.0,2700.0,1.0,0.012,0.0082
