observable,n_points,median_abs_residual,median_abs_standardized_residual,posterior_95_hdi_contains_experimental_mean,median_chain_median_range_over_exp_sd,p95_chain_median_range_over_exp_sd,max_chain_median_range_over_exp_sd,material
alpha,477,0.0755476326634098,6.990965916714941,0.020964360587002098,0.026389613061656166,0.11659668547778118,0.8900592407863925,Ag10Pd90
delta_OH,152,0.136842932857984,1.4840873038384907,0.02631578947368421,0.003962133790282646,0.010164853880377866,0.02117772168666491,Ag10Pd90
delta_CO,354,0.27605905527093844,15.401243404031895,0.00847457627118644,0.01032868879086159,0.06302810952027903,0.1764444963011915,Ag10Pd90
alpha,490,0.03879176762108887,2.965003013096812,0.0653061224489796,0.018448413278395904,0.09439849767686816,1.1688397220921543,Ag25Pd75
delta_OH,162,0.20056527321976775,1.0140844008296068,0.0,0.0018958078266284194,0.006060438501424524,0.009585152839004294,Ag25Pd75
delta_CO,367,0.2072426617015218,5.818338876253017,0.013623978201634877,0.003692503346759734,0.05226484600284222,0.23523173896491828,Ag25Pd75
alpha,492,0.03338606265988508,1.9197793263508656,0.10365853658536585,0.009660316335906426,0.06416656576504934,0.6172541673893297,Ag50Pd50
delta_OH,164,0.18785672307387635,1.1196069755471698,0.024390243902439025,0.0025411384169634313,0.006172370811630542,0.007771848561168237,Ag50Pd50
delta_CO,369,0.17550460007067475,4.616503920019378,0.02981029810298103,0.004629041499074321,0.055854724618733476,0.13639979165008323,Ag50Pd50
alpha,492,0.029436088141712488,2.6195495712692916,0.12804878048780488,0.01623021489851225,0.11630854219898493,0.5280655145032785,Ag75Pd25
delta_OH,164,0.06941495975297779,0.5156009802838417,0.1402439024390244,0.0032959717824944538,0.011233080107912023,0.012655959227459868,Ag75Pd25
delta_CO,369,0.19206705088704867,5.893270704310373,0.04065040650406504,0.005527928428242841,0.01925389023065641,0.11053116395416757,Ag75Pd25
alpha,492,0.0478802562631795,4.427773554300435,0.09959349593495935,0.020188907398908135,0.1076745864279276,0.585336088799137,Ag90Pd10
delta_OH,164,0.09780381323475254,0.32950971026869336,0.036585365853658534,0.0014826209464443743,0.0036061756565260424,0.004985489790558519,Ag90Pd10
delta_CO,369,0.21633325059507075,6.423036746090278,0.0027100271002710027,0.004454285507130684,0.06118428245344194,0.14121689235004523,Ag90Pd10
alpha,488,0.04373477933021444,2.067642649067719,0.06557377049180328,0.013960200356411535,0.1154194081260688,0.7771207677725589,Pd100
delta_OH,161,0.0999828846984947,0.8167624694355989,0.012422360248447204,0.00031801986690253,0.008588442305307873,0.016071491916920692,Pd100
delta_CO,365,0.18284303910453822,4.951352510680814,0.005479452054794521,0.007311794986884033,0.0888069495909505,0.22536936063023427,Pd100
