material,electrolyte_concentration_M,CO_mole_fraction,replicate,n_points,mean_residual,mean_abs_residual,rms_residual,lag1_residual_correlation,residual_slope_per_V
Ag10Pd90,0.25,0.001,A,33,-0.552493162566746,0.6985020316118,0.8095937300811922,0.9995559385165739,6.148877640534062
Ag10Pd90,0.25,0.001,B,33,-0.38642064739456233,0.6035405974000587,0.6847401480475895,0.9999116299140514,5.791523259065792
Ag10Pd90,0.25,0.001,C,33,-0.6497296154836674,0.7501704626935649,0.9126951377730894,0.9991814578265005,6.706394692182526
Ag10Pd90,0.25,0.01,A,37,-1.4500521244237354,1.4500521244237354,1.518515744142567,0.9986408003165487,4.206234011181951
Ag10Pd90,0.25,0.01,B,37,-1.4466719118510973,1.4466719118510973,1.5051352941942393,0.9987597443670112,3.8679441771768315
Ag10Pd90,0.25,0.01,C,37,-1.4999055987908578,1.4999055987908578,1.6021781796705683,0.9991480442388815,5.2673025409202765
Ag10Pd90,0.25,0.1,A,41,-1.1647925252494111,1.1647925252494111,1.208080991113517,0.9995728145415488,2.6957616427801105
Ag10Pd90,0.25,0.1,B,41,-1.1382578291121843,1.1382578291121843,1.175813280866408,0.9996876323594588,2.4753941129998744
Ag10Pd90,0.25,0.1,C,41,-1.2390034750036751,1.2390034750036751,1.2969590209197035,0.9996108281057134,3.219640748667201
Ag10Pd90,0.25,1.0,A,41,-0.41053046212450295,0.41053046212450295,0.4895762776994386,0.9996192422466585,2.2278957415768863
Ag10Pd90,0.25,1.0,B,41,-0.5078914088982069,0.5078914088982069,0.5624617951320685,0.999947800322888,2.027172079694032
Ag10Pd90,0.25,1.0,C,41,-0.5408116994604059,0.5408116994604059,0.607423512493292,0.9995610677566977,2.2960781295601453
Ag10Pd90,0.5,0.001,A,38,-0.3788621101439749,0.5250869117522645,0.6330471113392409,0.9987983199040602,4.5887147736320255
Ag10Pd90,0.5,0.001,B,38,-0.4310604306715779,0.46758359390776844,0.6056978073657205,0.9969723327052591,3.7847063502361533
Ag10Pd90,0.5,0.001,C,38,-0.5398668049135132,0.6265532961159599,0.8015239070040391,0.998268683986826,5.321752461829409
Ag10Pd90,0.5,0.01,A,41,-1.1936840729751823,1.1984517543329392,1.2856887148009732,0.997459488667968,3.919960929998209
Ag10Pd90,0.5,0.01,B,41,-1.164881262421638,1.1691367567034843,1.2568406511050318,0.9978654078086983,3.8683358190816346
Ag10Pd90,0.5,0.01,C,41,-1.225306536940134,1.2344040944565116,1.351944055525621,0.9977249072162688,4.73307501354807
Ag10Pd90,0.5,0.1,A,41,-0.9637538761212735,0.9637538761212735,0.9840617609070632,0.9985059479380363,1.661013674488898
Ag10Pd90,0.5,0.1,B,41,-0.9006879196169938,0.9006879196169938,0.919363906479669,0.9987862098747883,1.5285132688982301
Ag10Pd90,0.5,0.1,C,41,-0.9743110316522582,0.9743110316522582,1.0075035070747753,0.9986863263203876,2.142286422177696
Ag10Pd90,0.5,1.0,A,41,-0.2758046814023136,0.2758046814023136,0.2997087223020026,0.9993692401557734,0.9852821521241256
Ag10Pd90,0.5,1.0,B,41,-0.2554961166035843,0.2554961166035843,0.2784394308028104,0.9993406285116158,0.9295022760732038
Ag10Pd90,0.5,1.0,C,41,-0.2952383282533117,0.2952383282533117,0.3490685989046805,0.9996123276152425,1.5651253267708614
Ag10Pd90,1.0,0.001,A,41,-0.5581649854667827,0.794966323135896,0.9376895170305993,0.99810000320383,6.274469826916746
Ag10Pd90,1.0,0.001,B,41,-0.6471742233556398,0.8106219186475813,0.9692978552113902,0.9981147928754444,6.010122660687563
Ag10Pd90,1.0,0.001,C,41,-0.6774084553429465,0.8508034638259081,1.01315905503222,0.9981459368046643,6.276301591747539
Ag10Pd90,1.0,0.01,A,41,-1.1695758650355306,1.2611905745541059,1.3916962365649488,0.9992106082389262,6.057800917176526
Ag10Pd90,1.0,0.01,B,41,-1.2875264581985657,1.344181035566572,1.4735993004068608,0.9990485070747422,5.776475398511071
Ag10Pd90,1.0,0.01,C,41,-1.2689707883617773,1.3466673227076122,1.486171898265888,0.9992135265338804,6.23394425068495
Ag10Pd90,1.0,0.1,A,41,-0.9164745176256032,0.9164745176256032,0.9604760106727687,0.9981026231305353,2.3949847048501534
Ag10Pd90,1.0,0.1,B,41,-1.0303224552781682,1.0303224552781682,1.0625561855483148,0.9976292075986619,2.1751209976039827
Ag10Pd90,1.0,0.1,C,41,-0.9830510679854758,0.9830510679854758,1.031822551149272,0.9983913285685572,2.6297412014400234
Ag10Pd90,1.0,1.0,A,41,-0.13341835350635836,0.15094712794652776,0.19146698284391175,0.9989147355335226,1.1449754413476096
Ag10Pd90,1.0,1.0,B,41,-0.28864628187614494,0.28864628187614494,0.3132603472844875,0.9986132192383608,0.998927344496079
Ag10Pd90,1.0,1.0,C,41,-0.21173041442478185,0.21173041442478185,0.2654491089753083,0.9991344491303961,1.332351439944698
Ag25Pd75,0.25,0.001,A,39,0.8285575076020874,0.8285575076020874,0.8405027352964638,0.9908912147253248,1.2033313055586436
Ag25Pd75,0.25,0.001,B,39,0.8267798934042873,0.8267798934042873,0.8415642573071007,0.9915457166483522,1.2879597931703117
Ag25Pd75,0.25,0.001,C,39,-0.17034294128080263,0.28537561848969456,0.3991412224383993,0.9928456818385696,1.8553678088983396
Ag25Pd75,0.25,0.01,A,41,-0.09366714577595006,0.09774938761584262,0.10661182996798238,0.9161959601705058,0.2398361738063572
Ag25Pd75,0.25,0.01,B,41,-0.060404738310419516,0.06746454338420173,0.0874901794779897,0.9471635861550303,0.3519760490485098
Ag25Pd75,0.25,0.01,C,41,-0.22707348912161993,0.29439812538307747,0.4354849852063774,0.9988773912243551,2.8086528084972953
Ag25Pd75,0.25,0.1,A,41,0.04351239548675616,0.16673008853300006,0.18433779270196768,0.9976358959142998,-1.3730953837745778
Ag25Pd75,0.25,0.1,B,41,0.02091513898080627,0.1722325792046285,0.19334532820354874,0.9973903069595624,-1.435853125381483
Ag25Pd75,0.25,0.1,C,41,0.38964883063980815,0.39156334280141397,0.4206346346134773,0.9971478452186517,1.0271321499560364
Ag25Pd75,0.25,1.0,A,41,0.43080717874771335,0.4461193193131449,0.5248840190238758,0.999192797757349,-2.454036992451578
Ag25Pd75,0.25,1.0,B,41,0.41174417418896553,0.43532700151232284,0.5148168811041067,0.998934983034127,-2.5149113215130057
Ag25Pd75,0.25,1.0,C,41,0.9979882800122579,0.9979882800122579,1.0046255944461067,0.9798796016315365,-0.3853633744106723
