parameter,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,5629.523495758111,3674.9521997893394,0.9994452285044196,9.607647867373347e-06,6.79821262685374e-06
deltaG4_0,5099.3486185763195,3401.045717978651,1.0010735264141908,2.325017821909168e-05,1.7102815273049754e-05
deltaG5_0,2006.9530849865637,2379.3581691664663,1.0019284882807664,3.763397479251336e-05,2.6521159901713583e-05
beta_2_BF,4208.561938361134,2694.642894978411,1.0003094807448938,2.0013329933075394e-05,2.6906342921229732e-05
beta_2_ER,5374.594436235605,3618.9728259372823,1.0006591907791151,3.639278545561892e-05,2.5591038160951944e-05
q,2611.047198663296,3090.2178158020347,1.0006090976530089,8.882428942596944e-05,6.15041286245594e-05
Gact1_0,5267.824398280526,3380.8269451519345,1.0018313492282596,1.071275575397446e-05,7.584047340945688e-06
Gact2_BF_0,2130.3238096233636,2448.174488415196,1.0009261757731192,2.1966355061747998e-05,1.5720024411976894e-05
Gact2_ER_0,4981.414565916265,3287.7807406816905,1.0012516559141444,5.2785457138221756e-06,3.756766116285748e-06
Gact2_LH_0,5376.30646097558,3601.967073674343,1.0000870015706371,2.686184420610835e-05,1.909032775075193e-05
