setup_index,setup_experiment_index,material,electrolyte_concentration_M,replicate,setup_label,z_mean,z_sd,z_median,z_hdi95_lower,z_hdi95_upper,offset_mean,offset_sd,offset_median,offset_hdi95_lower,offset_hdi95_upper
0,0,Ag10Pd90,0.25,A,material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=A,0.19963694549921768,0.8536701816593021,0.20976512316098286,-1.5154236324273012,1.7873154284354278,0.015865722533002478,0.04323913353666193,0.012897647985432152,-0.07231406183457893,0.10332387785429285
1,0,Ag10Pd90,0.25,B,material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=B,0.3303886274442675,0.8580689787939308,0.3465300874483559,-1.3355130151306192,2.0711783554404755,0.025084115511074707,0.04511617668244044,0.02174465233687288,-0.05943990610426757,0.11719406226721883
2,0,Ag10Pd90,0.25,C,material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=C,-0.528948971499435,0.8610879069343539,-0.5429578295563622,-2.290973006616314,1.1030464587837758,-0.04094983804407719,0.047312646150172596,-0.035909162816063545,-0.13775378887427547,0.04510950828322034
3,1,Ag10Pd90,0.5,A,material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=A,0.10510291712877591,0.8369284998346204,0.10992133525443146,-1.5358653058249012,1.7701988436710978,0.0077120967874403715,0.041502952961568515,0.006729571062581395,-0.08071967792263328,0.0898528138662205
4,1,Ag10Pd90,0.5,B,material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=B,0.27498206752785864,0.8307816471839524,0.280028904996741,-1.306812612038086,1.9932645413854482,0.020306946659756443,0.04294863634665995,0.017778956195155918,-0.07589734859670547,0.10186991277358644
5,1,Ag10Pd90,0.5,C,material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=C,-0.37173848100541906,0.8240180427107724,-0.3820478210951972,-1.941886430987095,1.2659761427573093,-0.028019043447196815,0.043738746096105785,-0.024884837542361826,-0.12023323993536408,0.053309841281349156
6,2,Ag10Pd90,1.0,A,material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=A,0.6120987542265908,0.8511507495184215,0.606204291658077,-1.0519782917479397,2.226479173943436,0.0473235425365251,0.04766129607278461,0.04108179280749893,-0.03428674790838819,0.14588865750661276
7,2,Ag10Pd90,1.0,B,material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=B,-0.42300784930331886,0.8425549473059157,-0.43708053511179124,-2.075759491813836,1.2597909499570608,-0.03212129771412796,0.04455542788073009,-0.027813579856517244,-0.12481967601518823,0.05432038132062812
8,2,Ag10Pd90,1.0,C,material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=C,-0.20467844782428235,0.8566472756777754,-0.19255363598885952,-1.9279062664621502,1.4391635751645178,-0.015202244822397135,0.04237742463652768,-0.013115071769975062,-0.09458700972715203,0.07326114909862229
9,3,Ag25Pd75,0.25,A,material=Ag25Pd75 | electrolyte_concentration_M=0.25 | replicate=A,0.8723501742891889,0.6579047244356508,0.8529474682627027,-0.41391435451841085,2.1796646383961717,0.14564470592697978,0.0422590339364068,0.1449912840835026,0.061643171909781524,0.22703984649655765
10,3,Ag25Pd75,0.25,B,material=Ag25Pd75 | electrolyte_concentration_M=0.25 | replicate=B,0.6760246375739047,0.6582746062994701,0.6621242187143448,-0.5288745247448886,2.040416653631604,0.11273649597942728,0.04091560547701483,0.11269355562488437,0.030390239936994832,0.19181799282650863
11,3,Ag25Pd75,0.25,C,material=Ag25Pd75 | electrolyte_concentration_M=0.25 | replicate=C,-1.5587343928692192,0.7343606894223659,-1.5315738336909446,-2.994908094108318,-0.10785077651967123,-0.25838120190640707,0.043180425595878646,-0.25866635491287565,-0.3429942729940733,-0.17388949381696767
12,4,Ag25Pd75,0.5,A,material=Ag25Pd75 | electrolyte_concentration_M=0.5 | replicate=A,-0.3494748763902195,0.6462501400902185,-0.34923976689055747,-1.5613853855357758,0.9447231243008837,-0.056060269960527806,0.0408352104671263,-0.0564667308126407,-0.13671402824708778,0.024171263475804106
13,4,Ag25Pd75,0.5,B,material=Ag25Pd75 | electrolyte_concentration_M=0.5 | replicate=B,-0.2568807579451193,0.637761534944559,-0.2585055313386694,-1.4680212201885765,0.990798986212868,-0.041083040064999625,0.041827047214495955,-0.040694205112370395,-0.1293408151078912,0.03379932244991872
14,4,Ag25Pd75,0.5,C,material=Ag25Pd75 | electrolyte_concentration_M=0.5 | replicate=C,0.5729093866887451,0.6542800239024764,0.5589375453832979,-0.663702398612024,1.9080091921680142,0.09714331002552742,0.041048396436910814,0.09631767936586974,0.016661244950803306,0.17707357240042643
15,5,Ag25Pd75,1.0,A,material=Ag25Pd75 | electrolyte_concentration_M=1.0 | replicate=A,-0.8049863174234728,0.6311553171526257,-0.7911279212943372,-2.081287935376775,0.38869767717837633,-0.1375116193193652,0.03998500276753273,-0.13697581496274341,-0.21572367596036793,-0.05841266112301863
16,5,Ag25Pd75,1.0,B,material=Ag25Pd75 | electrolyte_concentration_M=1.0 | replicate=B,-0.03750002709853231,0.608035418012508,-0.05201428102885593,-1.14294317797206,1.2359046333505395,-0.010039001007777743,0.03955050956452546,-0.009602772074386878,-0.09055974823846473,0.06598504241635252
17,5,Ag25Pd75,1.0,C,material=Ag25Pd75 | electrolyte_concentration_M=1.0 | replicate=C,0.9091785487241529,0.6389490291523376,0.9051111480076779,-0.3772123829886723,2.119955289951564,0.14755062032714292,0.04105534310123757,0.1479183926048923,0.06609357671529677,0.2242534808398568
18,6,Ag50Pd50,0.25,A,material=Ag50Pd50 | electrolyte_concentration_M=0.25 | replicate=A,-0.4259970299062878,0.6114174876402984,-0.42011093123620724,-1.5783184948789184,0.7811809537976027,-0.0768143655460207,0.02346111862524707,-0.0767857789404347,-0.12044744657526428,-0.02932650435643993
19,6,Ag50Pd50,0.25,B,material=Ag50Pd50 | electrolyte_concentration_M=0.25 | replicate=B,-0.054346078468965824,0.5976691080411525,-0.04646466730509987,-1.2188817692765077,1.0973681342252073,-0.010169891877579763,0.023498770886439858,-0.00962949650402425,-0.054792702358378846,0.03632490956869148
20,6,Ag50Pd50,0.25,C,material=Ag50Pd50 | electrolyte_concentration_M=0.25 | replicate=C,0.4887646711759734,0.6121497985668016,0.49015579439445855,-0.757411132539114,1.6101143240044593,0.08698425742360047,0.02294493377442005,0.08703367562895785,0.04081888023332011,0.12964506121132618
21,7,Ag50Pd50,0.5,A,material=Ag50Pd50 | electrolyte_concentration_M=0.5 | replicate=A,0.8516384175686995,0.6329748429898933,0.8492411683466832,-0.3538611654238123,2.1093221317853836,0.15095432747528872,0.02295505599223088,0.1505975716258472,0.10762037661904253,0.19769389876997895
22,7,Ag50Pd50,0.5,B,material=Ag50Pd50 | electrolyte_concentration_M=0.5 | replicate=B,0.8599926945186382,0.6366069321352912,0.8545051291827933,-0.39859837289806166,2.0617173870536067,0.15239176557522743,0.02296553271764594,0.15284589920149816,0.10893542520439309,0.19797785196417217
23,7,Ag50Pd50,0.5,C,material=Ag50Pd50 | electrolyte_concentration_M=0.5 | replicate=C,-1.6860981831456052,0.7293524357290891,-1.6829273760421175,-3.060764807059149,-0.2768054280678576,-0.30334609305051613,0.023279455518233787,-0.30313213925393995,-0.3471192384277648,-0.2568063690684825
24,8,Ag50Pd50,1.0,A,material=Ag50Pd50 | electrolyte_concentration_M=1.0 | replicate=A,0.5295425995617898,0.6034141425303233,0.523744919741279,-0.644222763682164,1.6885462341755582,0.09585434584999623,0.023232363498342824,0.09576598219902122,0.04879879226162204,0.13774216896658872
25,8,Ag50Pd50,1.0,B,material=Ag50Pd50 | electrolyte_concentration_M=1.0 | replicate=B,0.34625763930078146,0.5948175866520298,0.341750279093733,-0.7916238280310901,1.509395312781771,0.06322724647051041,0.022935716142174538,0.06323704795786728,0.018287735497694087,0.10754926494723849
