material,electrolyte_concentration_M,CO_mole_fraction,n_potentials,n_replicates,shared_rms,replicate_specific_rms,shared_fraction_squared_residual,replicate_fraction_squared_residual
Ag10Pd90,0.25,0.001,33,3,0.7975508997934518,0.1278816892882087,0.9749345575476626,0.02506544245233738
Ag10Pd90,0.25,0.01,37,3,1.5408781721391067,0.0716021748418823,0.9978453384872501,0.0021546615127504883
Ag10Pd90,0.25,0.1,41,3,1.2266874848346965,0.05719177722487223,0.9978310161659993,0.0021689838340007914
Ag10Pd90,0.25,1.0,41,3,0.5522493968892316,0.05794634617573689,0.9891100415291596,0.01088995847084054
Ag10Pd90,0.5,0.001,38,3,0.6781892550130552,0.1003943153704918,0.9785561777557784,0.021443822244221734
Ag10Pd90,0.5,0.01,41,3,1.2974569946185923,0.058345706079176926,0.9979818450973973,0.002018154902602238
Ag10Pd90,0.5,0.1,41,3,0.9698322416824106,0.04812181613658758,0.9975440311325843,0.0024559688674156035
Ag10Pd90,0.5,1.0,41,3,0.3081557832663087,0.037959457800623354,0.9850528332314045,0.014947166768595548
Ag10Pd90,1.0,0.001,41,3,0.9723321419590836,0.0547778860491575,0.9968362288208618,0.0031637711791382187
Ag10Pd90,1.0,0.01,41,3,1.4499598127214752,0.05735808197042443,0.9984375784227936,0.0015624215772065907
Ag10Pd90,1.0,0.1,41,3,1.0178507831119572,0.05207987948072046,0.9973888236220476,0.002611176377952417
Ag10Pd90,1.0,1.0,41,3,0.25320994107553246,0.0655974018223021,0.937107184161942,0.06289281583805745
Ag25Pd75,0.25,0.001,39,3,0.5367218368943079,0.48640791251435217,0.5490578467164678,0.4509421532835319
Ag25Pd75,0.25,0.01,41,3,0.19885211311228235,0.17324481470523323,0.5684944996313307,0.43150550036866947
Ag25Pd75,0.25,0.1,41,3,0.1887462119182822,0.2171181982640499,0.4304348598066,0.5695651401934
Ag25Pd75,0.25,1.0,41,3,0.6546578992366434,0.29669363795774506,0.8296042980684849,0.17039570193151504
Ag25Pd75,0.5,0.001,41,3,0.8838868852568141,0.1101553079573333,0.9847058967971405,0.015294103202859498
Ag25Pd75,0.5,0.01,41,3,0.36656673029386283,0.048495288059398754,0.9827988440892464,0.01720115591075346
Ag25Pd75,0.5,0.1,41,3,0.5507092655276422,0.064965978349372,0.9862745988167316,0.013725401183268324
Ag25Pd75,0.5,1.0,41,3,1.0182153722160145,0.07202325371229615,0.9950214985301117,0.004978501469888391
Ag25Pd75,1.0,0.001,41,3,0.7772751977039741,0.04151893827280531,0.9971548480628679,0.002845151937132214
Ag25Pd75,1.0,0.01,41,3,0.363947115162926,0.018211121687915006,0.9975024694475813,0.0024975305524188003
Ag25Pd75,1.0,0.1,41,3,0.44547721367458337,0.02082137042927816,0.9978201835955077,0.0021798164044923222
Ag25Pd75,1.0,1.0,41,3,0.940264483484418,0.05360175607646184,0.9967607170411474,0.0032392829588525377
