parameter,mean,sd,q025,q50,q975
beta_2_ER,0.49413639238211465,0.28883638921355664,0.02792636434275115,0.48857278200245763,0.9741064211737741
q,0.4982487147758792,0.2894207557646612,0.02652326253247787,0.4949027470908553,0.9716962460714726
sigma_ln_rate_material,0.262990392153992,0.22131580789885288,0.04625943621750984,0.19756885228396887,0.8459693896845422
Gact2_ER_0,0.7325814405707584,0.12901819161343261,0.5149315988299163,0.7274224413105973,0.9775293804728575
deltaG4_0,-0.0004691926616845823,0.19953229687780819,-0.3774901372900397,-0.000939085268467646,0.3930806015191603
beta_2_BF,0.5056258187803215,0.28773886759515926,0.02351392994571472,0.5073432193918619,0.9819926700037017
Gact1_0,0.6776778439805865,0.1723205938586071,0.3136149803562923,0.6859005470828854,0.9714105882709984
Gact2_LH_0,0.7291312681453003,0.1330171930750742,0.5107634096902399,0.7238013635959807,0.9765972706993294
Gact2_BF_0,0.7239857137132143,0.12835307139098728,0.5161749991529608,0.7224789746817293,0.9695431466018927
deltaG5_0,0.0016667004881388745,0.1953567217118537,-0.3809207378586909,-0.000919138711253101,0.39199786154386523
deltaG1_0,-0.2568636593197657,0.09984175432423327,-0.39455142349763783,-0.27624274412644567,-0.04257225766274942
